Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU1 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU1 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU1 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU1 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU1 to GPU0 (coherence),CPU1 to GPU1 (coherence),CPU1 to GPU2 (coherence),CPU1 to GPU3 (coherence)
3,12454.28,6957.51,6956.96,1173.73,1534.53,12131.06,6856.5,7680.28,2018.89,1741.01,7549.79,7859.62,10605.77,1631.94,2108.66,8055.33,7993.31,10342.65,1727.09,2481.38,12329.65,12468.05,10548.56,10269.44,12452.06,12654.22,10530.79,10494.17
4,12890.46,7552.07,7398.26,2765.52,2158.01,12996,7260.53,7870.53,1958.47,2250.34,7888.74,8107.42,11322.5,2527.87,2474.26,7944.77,8245.2,11103.71,2036.11,2726.55,12999.55,13075.31,11175.15,11146.31,12972.61,13063.57,11322.43,11258.63
6,12901.26,7398.57,7282.2,3255.39,2836.44,12671.84,6769.72,7289.47,3479.59,3225.95,8314.44,8445.11,11543.3,3583.48,3427.8,7934.45,7929.04,11359.44,3526.19,3245.23,12658.04,13401.44,10438.5,11499.58,12693.52,12360.79,11098.49,11382.15
8,11731.99,7198.19,7954.2,3517.28,3608.61,12561.65,7550.44,7853.47,3803.04,3232.79,7834.07,8361.38,12271.07,4036.94,3986.78,7902.16,8312.28,12015.12,2723.16,3551.22,13168.59,12094.42,11341.97,12690.07,13434.97,12457.16,13163.13,12844.89
12,12315.94,7697.58,7922.55,4645.41,4153.99,13197.39,6860.5,8224.28,4258.86,4535.63,8163.73,8155.08,12519.56,4561.39,5382.03,8219.58,8295.17,12215.12,4063.65,4417.78,14157.1,13983.73,9912.86,13657.46,13852.29,13573.26,10413,13290.67
16,12325.52,7845.19,7971.6,5072.17,6568.25,13349.7,7646.33,7862.55,6087.26,5357.56,8577.64,7993.12,13139.73,5197.78,7447.25,8488.96,8279.93,12380.17,6081.64,6958.34,14539.43,11079.61,12778.59,13620.1,13442.95,12752.44,13219.51,13248.41
24,18455.82,9401.54,10018.33,8256.61,9137.52,19355.04,9876.1,10052.25,8977.5,8484.56,11897.3,10758.89,18500.12,7091.15,8747.28,10789.21,11033.97,17736.79,8531.77,9296.37,18635.74,18639.76,16172.83,16554.97,18823.32,18840.43,16278.77,17227.15
32,18916.86,10213.65,10472.68,10302.66,11444.47,18791.87,9387.78,10109.82,10014.62,11353.9,11543.08,11105.51,18683.26,10047.3,10189.97,11285.88,10859.57,17703.81,10633.58,10050.21,17890,18638.81,14695.38,17943.32,17814.85,18624.24,18075.21,18017.48
48,21738.13,10288.29,10822.63,12030.17,11400.74,21833.88,11070.88,12138.5,12221.27,11750.28,12887.52,11115.07,21058.48,10339.39,12099.17,12778.08,12447.31,21033.78,11352.97,11377.77,20218.74,19924.51,19058.55,19008.88,19833.05,20507.26,18366.13,19355.92
64,21945.62,9841.91,10870.05,11130.88,11810.49,22030.49,10031.96,10828.98,12136.04,11133.93,11746.35,11174.89,20577.53,11557.11,9772.39,12514.01,12709.44,20326.35,11763.41,12252.6,20425.25,20643.9,17682.74,18874.41,20781.66,19896.3,17748.35,18334.38
96,22254.92,11187.77,11466.69,11176.81,11895.65,22692.08,10873.86,11657.93,12089.21,12046.14,13684.21,13739.41,21981.2,11571.1,11963.49,14212.46,13912.44,21378.82,12190.24,12066.57,22023.2,21890.14,18648.33,19636.77,21883.38,20977.3,18724.78,19818.25
128,22168.48,10959.31,11949.2,12819.34,13516.66,23577.65,12756.75,12225.22,11965.97,12118.49,12871.69,12522.62,22199.89,12847.56,13585.12,14557.09,14220.62,21317.97,13089.18,13693.31,22311.56,22493.44,19309.67,20490.79,22234.52,22237.59,19611.45,20845.65
192,23542.18,12041.81,13192.96,13249,13550.27,24323.72,11756.33,12512.61,13274.49,13367.01,14939.84,12860.4,23812.21,14242.94,14395.37,14919.15,15766.21,22382.84,14279.94,14282.65,21342.66,22973.26,19772.75,21111.81,20969.21,23013.19,21041.54,21500.17
