Transfer Size (MB),GPU1 to GPU0 (no peer),GPU2 to GPU0 (no peer),GPU3 to GPU0 (no peer),GPU4 to GPU0 (no peer),GPU5 to GPU0 (no peer),GPU6 to GPU0 (no peer),GPU7 to GPU0 (no peer),GPU0 to GPU1 (no peer),GPU2 to GPU1 (no peer),GPU3 to GPU1 (no peer),GPU4 to GPU1 (no peer),GPU5 to GPU1 (no peer),GPU6 to GPU1 (no peer),GPU7 to GPU1 (no peer),GPU0 to GPU2 (no peer),GPU1 to GPU2 (no peer),GPU3 to GPU2 (no peer),GPU4 to GPU2 (no peer),GPU5 to GPU2 (no peer),GPU6 to GPU2 (no peer),GPU7 to GPU2 (no peer),GPU0 to GPU3 (no peer),GPU1 to GPU3 (no peer),GPU2 to GPU3 (no peer),GPU4 to GPU3 (no peer),GPU5 to GPU3 (no peer),GPU6 to GPU3 (no peer),GPU7 to GPU3 (no peer),GPU0 to GPU4 (no peer),GPU1 to GPU4 (no peer),GPU2 to GPU4 (no peer),GPU3 to GPU4 (no peer),GPU5 to GPU4 (no peer),GPU6 to GPU4 (no peer),GPU7 to GPU4 (no peer),GPU0 to GPU5 (no peer),GPU1 to GPU5 (no peer),GPU2 to GPU5 (no peer),GPU3 to GPU5 (no peer),GPU4 to GPU5 (no peer),GPU6 to GPU5 (no peer),GPU7 to GPU5 (no peer),GPU0 to GPU6 (no peer),GPU1 to GPU6 (no peer),GPU2 to GPU6 (no peer),GPU3 to GPU6 (no peer),GPU4 to GPU6 (no peer),GPU5 to GPU6 (no peer),GPU7 to GPU6 (no peer),GPU0 to GPU7 (no peer),GPU1 to GPU7 (no peer),GPU2 to GPU7 (no peer),GPU3 to GPU7 (no peer),GPU4 to GPU7 (no peer),GPU5 to GPU7 (no peer),GPU6 to GPU7 (no peer)
12,8566.32,9162.21,9168.82,9279.8,9279.11,9262.07,9285.09,8567.06,9243.25,9222.52,9269.17,9295.9,9282.98,9265.64,9148.83,9165.68,8546.32,9255.75,9283.85,9292.96,9257.21,9140.15,9183.77,8593.7,9285.09,9307.04,9302.27,9281.68,9259.26,9265.57,9240.09,9249.48,8576.89,9166.9,9192.06,9262.7,9297.08,9248.11,9293.54,8578.72,9141.93,9122.73,9271.74,9291.49,9277.61,9277.08,9078.25,9095.55,8567.25,9254.34,9265.25,9266.35,9258.5,9109.2,9098.61,8584.17
16,8712.51,9358.05,9352.94,9482.67,9480.41,9481.32,9480.59,8707.77,9426.31,9430.73,9464.63,9490.55,9459.44,9481.3,9371.01,9372.27,8674.2,9465.55,9472.8,9472.93,9471.08,9355.86,9354.94,8724.96,9489.6,9491.43,9479.68,9487.64,9454.61,9463.04,9467.85,9458.48,8711.52,9371,9371.45,9468.26,9468.26,9464.01,9466.79,8722.08,9311.05,9315.02,9448.24,9447.22,9456.11,9449.64,9282.81,9282.48,8725.17,9444.76,9449.09,9434.65,9447.96,9322.3,9314.48,8713.43
24,8864.8,9520.82,9531.24,9658.17,9672.92,9679.57,9670.74,8845.43,9606.04,9603.57,9668.23,9667.4,9668.88,9680.84,9567.25,9574.43,8871.19,9662.45,9656.54,9665.69,9656.47,9540.96,9541.48,8887.58,9684.42,9676.63,9692.99,9676.58,9657.87,9662.94,9652.89,9656.61,8863.54,9562.63,9574.21,9658.78,9663.87,9657.11,9648.83,8860.51,9512.35,9508.04,9662.42,9652,9648.69,9643.17,9461.98,9468.23,8867.05,9646.84,9631.67,9636.74,9623.93,9500.86,9497.44,8868.59
32,8957.85,9646.06,9651.22,9777.68,9786.15,9787.74,9785.64,8942.09,9744.19,9740.28,9788.83,9789.52,9790.09,9790.34,9675.71,9688.05,8947.9,9776.28,9768.79,9772.94,9780.75,9646.85,9643.27,8935.19,9782.16,9779.83,9780,9789.98,9757.4,9754.28,9760.04,9763.83,8938.05,9656.72,9667.15,9746.29,9755.87,9762.21,9757.85,8932.67,9607.68,9604.57,9775.31,9782.01,9780.18,9781.66,9583.39,9585.5,8964.43,9760.22,9757.86,9761.1,9760.01,9603,9608.49,8970.21
48,9028.02,9747.28,9754.18,9890.06,9891.36,9895.97,9885.19,9017.26,9844.98,9846.79,9892.24,9896.86,9890.93,9890.35,9776.1,9789.98,9036.26,9876.89,9882.28,9882.96,9882.67,9753,9750.66,9019.53,9880.5,9888.78,9887.21,9884.41,9873.02,9877.3,9882.56,9882.04,9027.97,9779.12,9777.38,9882.23,9879.54,9879.63,9881.66,9034.68,9723.41,9723.6,9886.11,9882.98,9876.61,9874.4,9683.07,9682.6,9030.77,9857.14,9862.19,9859.78,9854.14,9713.28,9712.77,9027.13
64,9044.57,9802.34,9803.76,9937.08,9940.64,9944.18,9939.36,9041.33,9898.39,9897.19,9941.4,9942.84,9945.01,9947.29,9828.27,9838.14,9076.63,9931.15,9931.63,9933.09,9930.39,9804.82,9802.34,9075.06,9935.19,9935.68,9940.09,9929.46,9928.44,9934.16,9938.07,9928.32,9066.77,9843.28,9845.71,9930.57,9934.49,9928.09,9929.14,9062.41,9775.85,9771.84,9930.93,9933.04,9932,9930.98,9730.23,9735.52,9086.88,9908.1,9916.03,9909.22,9909.43,9758.15,9756.28,9085.69
96,9088.59,9848.44,9858.95,9991.39,9993.85,9997.03,9989.43,9096.05,9953.45,9942.02,9996.04,9999.4,9996,9994.22,9901.23,9912.82,9112.66,9982.79,9979.65,9981.93,9973.32,9858.9,9854.81,9105.02,9991.71,9991.12,9988.23,9991.58,9981.9,9980.54,9985.49,9984.11,9094.7,9886.4,9890.44,9988.29,9982.57,9981.65,9983.05,9106.43,9827.4,9824.2,9977,9984.11,9981.73,9974.61,9791.48,9788.42,9127.54,9953.42,9960.62,9953.09,9957.73,9819.17,9814.63,9095.4
128,9130.7,9874.59,9880.97,10016.47,10021.56,10018.82,10017.03,9113.13,9973.05,9976.74,10022.91,10026.73,10022.23,10024.27,9924.78,9927.67,9130.27,10009.24,10007.53,10007.87,10009.19,9885.65,9882.09,9131.82,10016.99,10017.89,10017.42,10010.8,10009.21,10011.37,10011.78,10006.59,9131.18,9927.96,9926.94,10015.12,10006.98,10008.05,10012.71,9125.48,9857.18,9852.22,10007.89,10009.75,10004.08,10008.2,9807.59,9809.37,9146.98,9985.05,9986.23,9987.49,9988.42,9836.42,9836.91,9125.42
192,9126.35,9901.69,9910,10044.75,10045.78,10044.21,10040.25,9126.64,10006.32,9997.18,10049.78,10045.37,10047.88,10047.69,9957.4,9959.94,9145.61,10033.58,10034.87,10031.71,10031.14,9904.62,9905.49,9142.39,10041.95,10038.48,10041.74,10041.78,10037.03,10033.68,10033.82,10037.84,9113.76,9953.7,9954.49,10020.7,10032.76,10021.44,10027.32,9145.68,9878.5,9878.12,10029.7,10031.51,10030.29,10033.2,9844.02,9837.94,9167.12,10010.79,10007.69,10010.21,10012.06,9866.72,9866.09,9151.8
256,9163.84,9911.69,9916.79,10047.48,10059.42,10058.57,10059.34,9133.42,10031.29,10027.64,10063.71,10060.91,10061.7,10064.86,9971.54,9974.06,9140,10045.61,10046.34,10045.89,10047.63,9920.95,9916.17,9148.02,10056.72,10055.66,10052.74,10053.12,10049.85,10048.86,10050.09,10047.12,9147.93,9951.84,9957.37,10047.27,10046.57,10048.38,10047.6,9153.09,9890.68,9889.73,10046.96,10048.05,10053.6,10047.32,9847.42,9847.22,9169.42,10024.13,10025.73,10028.47,10024.45,9879.11,9879.02,9141.66
