Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to GPU4 (coherence),GPU0 to GPU5 (coherence),GPU0 to GPU6 (coherence),GPU0 to GPU7 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU1 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to GPU4 (coherence),GPU1 to GPU5 (coherence),GPU1 to GPU6 (coherence),GPU1 to GPU7 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU1 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to GPU4 (coherence),GPU2 to GPU5 (coherence),GPU2 to GPU6 (coherence),GPU2 to GPU7 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU1 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to GPU4 (coherence),GPU3 to GPU5 (coherence),GPU3 to GPU6 (coherence),GPU3 to GPU7 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU1 (coherence),GPU4 to GPU0 (coherence),GPU4 to GPU1 (coherence),GPU4 to GPU2 (coherence),GPU4 to GPU3 (coherence),GPU4 to GPU5 (coherence),GPU4 to GPU6 (coherence),GPU4 to GPU7 (coherence),GPU4 to CPU0 (coherence),GPU4 to CPU1 (coherence),GPU5 to GPU0 (coherence),GPU5 to GPU1 (coherence),GPU5 to GPU2 (coherence),GPU5 to GPU3 (coherence),GPU5 to GPU4 (coherence),GPU5 to GPU6 (coherence),GPU5 to GPU7 (coherence),GPU5 to CPU0 (coherence),GPU5 to CPU1 (coherence),GPU6 to GPU0 (coherence),GPU6 to GPU1 (coherence),GPU6 to GPU2 (coherence),GPU6 to GPU3 (coherence),GPU6 to GPU4 (coherence),GPU6 to GPU5 (coherence),GPU6 to GPU7 (coherence),GPU6 to CPU0 (coherence),GPU6 to CPU1 (coherence),GPU7 to GPU0 (coherence),GPU7 to GPU1 (coherence),GPU7 to GPU2 (coherence),GPU7 to GPU3 (coherence),GPU7 to GPU4 (coherence),GPU7 to GPU5 (coherence),GPU7 to GPU6 (coherence),GPU7 to CPU0 (coherence),GPU7 to CPU1 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU0 to GPU4 (coherence),CPU0 to GPU5 (coherence),CPU0 to GPU6 (coherence),CPU0 to GPU7 (coherence),CPU1 to GPU0 (coherence),CPU1 to GPU1 (coherence),CPU1 to GPU2 (coherence),CPU1 to GPU3 (coherence),CPU1 to GPU4 (coherence),CPU1 to GPU5 (coherence),CPU1 to GPU6 (coherence),CPU1 to GPU7 (coherence)
0.5,2525.88,2849.52,2958.98,3367.73,1842.99,1821.26,1832.94,121.95,111.81,2639.78,3006.83,3005.24,1554.37,2456.75,1743.46,1568.75,110.43,199.28,3309.46,3095.59,2457.04,1769.37,1758.87,3025.13,1652.78,207.75,114.05,2896.38,2150.3,3023.58,1867.69,1777.8,1765.42,3191.79,202.34,131.29,2947.31,1852.9,1780.07,1860.9,3209,3146.32,3058.46,109.76,110.93,1815.79,3133.21,1811.12,1780.87,3290.86,3357.78,3190.46,133.35,110.03,1815.46,1821.85,2882.03,1772.53,2165.03,2894.86,1988.59,121,200.5,1873.6,1606.39,1778.38,2213.85,3217.81,3129.58,2250.94,113.27,111.49,2024.87,2147.81,2097.13,1906.82,2059.05,2168.82,1848.72,2081.4,1999.59,2073.77,1910.13,1920.8,2218.58,2070.61,2136.15,2113.35
0.75,3669.67,4354.92,3234.12,4362.09,2169.61,2174.68,2176.71,295.72,312.97,3068.09,3580.72,3037.83,2130.54,4470.59,2128.36,2165.85,180.37,166.5,3716.2,3187.07,3548.16,1835.68,1863.04,4328.93,1849.66,166.04,268.73,3594.14,3603.67,4087.95,1850.83,1899.1,2135.15,3526.39,163.73,166.14,3638.97,1933.85,2219.18,1957.37,4108.17,4450.83,3553.83,166.74,275.86,1953.3,4237.53,2309.7,2031.41,4495.3,4146.3,4319.73,258.62,169.75,2119.98,2213.52,3460.62,2065.27,4328.28,4520.99,4560.96,301.92,169.88,1949,2102.22,2013.62,3009.43,4059.5,3444.19,4324.81,165.35,184.93,2734.38,2725.44,2659.06,2660.64,2733.74,2718.34,2727.54,2718.73,2221.05,2797.78,2683.57,2869.56,2680.07,2809.95,2887.27,2809.45
1,3376.61,4080.75,3833.15,3937.72,2184.67,2144.54,2220.53,334.61,220.21,3492.56,4153.2,3990.79,2180.24,3902.21,2157.69,2199.9,221.41,402.94,4049.83,3460.32,4132.66,2182.14,2202.21,4050.62,2149.13,219.08,418.59,4124,4073.77,3831.74,2253.2,2264.68,2261.01,3827.63,337.48,220.21,3900.78,2111.95,2277.34,2156.13,4071.56,3937.46,4050.73,330.95,374.86,2160.17,4121.52,2146.08,2226.49,3935.18,4480.77,3968.95,217.41,351.37,2125.05,2144.98,3725.12,2120.19,3969.85,3956.17,3785.1,374.38,384.54,2164.15,2232.92,2145.09,3987.4,4062.78,4450.73,4172.89,347.09,219.12,2571.68,2992.69,2989.33,2907.03,2962.12,2312.62,2986.52,2877.36,2385.14,2803.05,2865.34,2909.15,3067.89,3052.25,3163.25,2900.27
1.5,8047.94,5414.77,8314.72,5454.41,2686.91,2747.3,2685.37,349.43,324.98,5352.34,8124.36,8186.83,3278.67,7782.91,3480.51,3516.51,324.33,438.07,5423.05,8054.08,8023.24,3465.15,3363.24,6825.04,3416.28,332.66,347.42,7106.65,8100.8,9380.16,3400.07,3481.73,3462.92,7655.4,387.56,461.17,5342.05,3536.13,2720.58,2571.88,5254.95,8127.26,5434.31,333.47,459.9,2278.45,8078.24,3399.92,3563.61,7678.88,7137.55,5700.11,330.79,575.46,2543.95,3454.23,8386.73,3491.13,5161.45,5248.08,7722.17,332.08,466.88,3417.78,3545.4,3381.54,7848.06,8120.35,8063.13,7803.4,326.73,442.34,4966.07,4901.05,3964.46,3826.51,3324.28,4777.66,3381.97,4762.34,3073.42,3433.37,3500.91,3411.01,3480.66,3509.08,3398.6,3522.82
2,6145.64,6280.36,6819.44,7117.59,3246.99,3134.99,3274.91,649.72,423.89,6942.49,6337.14,6883.33,3132.36,6064.1,3155.26,3092.44,530.3,422.56,6918.69,7017.81,7189.59,3270.94,3073.84,6302.73,3280.06,425.6,680.61,6921.83,6145.15,6836.46,3129.91,3186.7,3268.49,6243.35,632.86,443.08,6065.4,3283.11,3288.28,3274.73,6284.66,6875.52,6707.72,430.04,430.87,3134.62,7148.19,3301.13,3028.55,6983.61,6401.07,6979.8,426.57,594.79,3316.99,3292.64,6665.96,2999.26,6847.72,6083.45,6715.49,441.09,655.92,3289.55,3091.12,3138.74,7095.9,6827.36,6269.83,6690.98,836.5,433.27,4145.32,4586.82,4429.96,4685.64,4524.29,4697.68,4559.88,4520.66,4282.28,4147.54,3632.7,4252.04,4198.53,4012.35,4362.15,4016.82
3,5567.2,5291.14,5246.68,4783.7,2824.45,2888.17,2761.71,643.05,1006.53,5868.88,5326.61,4759.91,2840.77,4874.03,2832.01,2834.3,1118.58,937.51,4681.25,5031.31,5254.58,2857.76,2834.24,5052.93,2847.6,662.96,704.58,5356.01,5318.88,5234.78,2873.27,2823.23,2822.36,4949.2,650.82,1255.29,5312.3,2742.65,2732.39,2798.52,5034.91,5073.06,5095.57,963.25,829.67,2748.89,5401.92,2677.44,2690.59,5056.2,5173.36,4867.47,705.2,971.83,2674.26,2695.64,5486.98,2708.97,5016.21,5106.46,5044.43,936.24,673.26,2728.41,2722.41,2627.83,5255.35,5015.37,4983.88,5084.97,647.96,988.53,3840.98,3931.01,3945.57,4083.67,3674.96,3683.22,3810.34,3640.49,3242.31,3652.45,3817.78,3573.02,3872.89,3836.9,3879.01,3794.93
4,6960.25,6848.17,7053.32,6760.33,2922.15,2898.14,2874.17,1349.64,1257.48,6858.25,7072.96,6973.77,2876.14,6705.77,2891.29,2892.25,1331.86,984.31,6835.89,6959.87,7036.01,2855.45,2961.56,6820.36,2932.36,909.24,659.33,7514.22,6970.78,7238.18,2939.12,2956.87,2935.57,6738.91,1221.1,1202.41,6850.75,2795.02,2746.19,2676.33,5979.67,5917.4,5910.85,871.84,914.15,2838.23,6869.92,2806,2754.69,6805.53,6964.98,6893.08,953.69,864.6,2803.18,2739.86,7013.04,2759.34,6922.64,6834.06,6765.4,886.45,1298.04,2767.67,2822.62,2766.4,6934.6,6851.1,6795.8,6763.87,954.45,854.85,3894.24,3813.25,4108.02,4018.83,3611.99,3674.08,3472.95,3700.53,3747.81,3531.84,3561.39,3404.23,3838.15,3895.83,3988.45,3859.41
6,6869.6,6120.11,6217.55,6789.13,3116.43,2941.36,2961.78,1353.32,1347.64,6153.99,6095.71,6024.94,3084.43,6275.06,3129.1,3059.77,1394.16,1588.73,6143.56,6057.46,6312.69,3138.6,3005.07,5833.05,3098.25,1871.36,1882.31,6806.49,6087.6,6062.54,2940.98,2988.79,3057.1,6029.66,1775.52,1684.85,6206.39,2975.41,2806.48,2859.39,6549.52,6965.01,6178.95,1910.29,1342.86,2938.8,6119.98,2775.89,2879.39,5849.3,5894.58,6755.75,2046.62,1381.07,2868.3,2728.64,5946.64,2898.24,6801.28,5731.26,5937.41,1190.39,1423.64,2823.72,2986.18,2764.68,6042.45,5987.44,5912.03,5879.07,1344.09,1457.74,3996.48,3896.06,4054.19,3900.57,3632.13,3836.08,3453.02,3912.18,3803.46,3704.98,3716.31,3684.13,3901.14,4167.27,3927.05,3926.63
8,6571.77,6612.28,6112.21,6604.24,2995.89,3039.3,3161.87,2204.84,2027,6075.83,7034.18,5945.71,3109.31,6628.73,3105.12,3257.08,1947,1921.65,6623.03,6128.84,6594.45,3112.4,3035.81,6567.64,3109.29,1888.85,2602.54,6645.28,5782.67,6425.74,3096.3,3089.04,3056.82,6592.5,1890.91,1993.19,6012.52,2922.39,2957.57,3019.09,6498.2,6722.96,6159.47,1917.71,2230.57,2904.83,5896.9,2986.27,3043.34,5541.72,5150.49,5479.97,1882.45,2041.63,2914.52,3003.99,6612.79,3006.55,5426.65,5092.9,5087.82,1938.25,2163.03,2861.45,3037.69,3018.55,6542.15,6151.93,6675.78,6212.42,2457.86,2359.01,4013.16,4200.42,4006.28,4070.24,3669.6,3742.86,3782.89,3889.01,3955.03,3855.22,3765.38,3813.93,4103.85,4122.21,4041.76,4019.87
12,6238.1,6174.91,6042.59,6145.53,3240.05,3271.52,3190.27,3062.83,2779.47,6455.72,6445.84,6154.87,3191.85,6140.58,3188.62,3356,3006.08,2982.04,6089.11,6048.24,5983.62,3260.07,3250,6503.55,3204.91,3105.28,3081.17,6006.48,5764.01,5797.62,3361.78,3212.04,3191.18,6922.5,3186.65,2976.05,6271.05,3093.03,3065.78,3021.6,5315.64,5339.3,6152.77,2698.85,2768.38,3091.12,6058.46,3149.03,3297.02,6291.86,6046.4,6267.73,3449.81,2906.34,3037.86,3108.33,5843.34,3082.69,6141.67,6039.86,6188.38,2978.17,3105.3,3103.5,3122.21,3120.9,5956.19,5120.19,5102.26,4884.39,3625.44,2825.42,4140.04,4320,4280.83,4264.06,3973.09,4096.57,3861.46,3948.39,4063.38,3918.96,3626.82,4138.94,4224.33,4127.26,4529.26,4378.28
