Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU8 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU8 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU8 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU8 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU8 to GPU0 (coherence),CPU8 to GPU1 (coherence),CPU8 to GPU2 (coherence),CPU8 to GPU3 (coherence),
1.000000,8709.21,7065.79,7394.92,2741.26,235.45,7292.94,6924.39,6290.77,270.09,469.38,7623.23,7064.64,9235.49,433.10,208.36,7640.18,7902.20,9308.65,434.73,371.88,5893.93,6022.68,5546.93,5869.89,5964.88,7286.40,7663.66,8314.63
1.500000,12758.47,10201.44,10187.66,183.81,608.80,10623.15,8406.23,8958.49,234.15,686.84,9509.44,9187.12,10917.90,360.94,639.44,10912.98,10973.01,10696.41,671.52,464.30,8762.14,8808.14,7247.25,7658.02,8128.89,7879.48,10463.46,11219.73
2.000000,11520.01,9293.21,9674.08,1056.19,1356.00,10353.74,9217.10,9459.17,300.59,3630.37,8768.81,9626.12,11283.82,1534.20,2866.71,9105.44,9567.41,11829.14,482.99,859.86,9187.76,8478.42,7971.49,7607.05,8879.89,8691.04,10130.63,10183.56
3.000000,11394.02,9259.32,9743.26,1494.41,5148.49,10861.07,9088.16,9533.62,1218.74,1161.70,9544.38,9656.52,10828.84,449.36,1299.86,9792.75,9810.85,10964.83,770.92,1032.78,10037.51,9750.04,9080.87,9153.21,8231.51,8769.98,10213.50,10442.45
4.000000,14205.20,11071.29,11252.26,1259.85,2815.13,14170.93,10865.11,11275.90,988.69,1063.46,10514.45,10604.20,13072.19,2078.44,1731.58,11369.68,11343.33,14364.41,1543.73,1630.11,11419.31,10994.24,9391.70,10278.92,10125.02,10795.93,11964.37,12277.13
6.000000,15144.75,11439.31,12007.08,1593.66,2752.27,15265.93,11701.65,11978.18,1326.20,2455.28,11511.67,12115.95,15676.68,2342.83,4050.85,12235.91,12114.31,15601.19,1475.64,1969.78,12294.38,12207.53,11072.21,11264.71,10882.16,11200.51,13045.69,13348.55
8.000000,16001.86,11984.88,12516.94,2548.57,1462.07,15015.64,10316.54,11990.66,3531.56,2447.94,12005.00,12041.50,15507.12,5001.37,2803.98,12041.74,12008.71,15221.02,2536.60,2882.64,13320.94,13500.08,11299.53,11691.58,11408.95,11524.39,13964.36,14038.44
12.000000,19368.62,15293.58,15420.93,4843.00,3557.58,18839.78,14551.65,14845.97,4523.30,4163.30,14684.34,14643.31,19038.64,3411.08,3409.57,14625.53,14746.56,19054.48,5831.69,6559.66,16087.30,15765.16,14022.23,14208.48,15128.04,14363.07,17016.64,16131.57
16.000000,19325.31,15345.34,15379.82,4704.93,6225.67,19208.12,14963.26,15414.78,3685.11,5526.50,15243.57,15166.05,19950.17,6112.84,5229.24,15319.42,15450.50,19960.78,5853.42,6296.87,16746.77,16589.99,14837.25,15095.99,15221.73,15254.28,17323.59,17273.64
24.000000,27234.97,18233.44,18594.62,4555.31,16890.49,26680.60,17801.76,18105.02,8375.86,15403.84,18467.39,18837.33,27431.80,15377.38,7086.34,18338.59,18266.12,27518.14,11067.87,7208.11,19918.47,19646.03,15705.55,16086.00,15807.69,15690.15,19468.16,19955.20
32.000000,25027.20,17738.48,17807.01,11893.63,17803.80,24677.53,17589.62,17886.95,10128.24,10213.07,17852.68,17802.38,25713.01,10196.58,10133.19,17687.94,17733.39,25372.86,13661.67,9235.37,19684.00,19419.16,15954.92,13769.52,16216.85,16216.05,20121.07,20063.19
48.000000,34106.85,21428.56,21456.02,8763.33,19673.92,33886.70,21341.60,21371.90,13286.70,12998.45,21429.60,21565.23,34165.11,12700.60,12444.98,21317.62,19977.95,33722.57,12811.30,11955.89,24258.14,24134.02,19981.18,20074.76,20107.16,20302.23,25083.86,24962.11
64.000000,33396.91,21544.36,21308.93,13575.83,16965.79,34898.09,21321.64,21264.22,15615.10,16061.72,21260.57,21437.37,32832.53,15004.97,15494.02,21187.91,21190.22,33547.25,15375.72,15174.98,25130.41,24952.70,20993.68,20904.32,20949.87,21229.54,25290.78,24248.38
96.000000,36046.59,21892.96,22118.16,17856.57,27882.60,30146.71,22517.30,22291.14,17913.52,19299.12,22902.04,22738.10,33580.49,27476.33,17749.32,22436.73,22608.65,35010.25,15903.70,17551.62,26666.14,26466.48,22762.61,22925.42,23131.54,22899.94,26787.86,26823.22
128.000000,32385.53,21738.66,22332.64,19527.45,19267.25,34228.86,22015.09,22384.01,19412.01,23980.62,22510.85,21592.05,35580.12,22447.29,19153.31,22384.83,22188.21,33740.20,23247.38,17540.08,26116.64,25766.24,23019.02,23800.27,23136.36,22565.81,25583.82,26680.06
192.000000,31116.36,21681.23,21755.83,21757.21,27807.89,30446.04,21496.19,21497.25,18431.54,29150.49,21801.65,21884.48,29229.92,25285.55,21608.11,21450.85,21814.78,30137.76,25986.13,21384.28,24058.67,24247.17,23024.35,22512.55,22666.27,23143.30,24481.85,25250.22
256.000000,31022.31,21419.52,21368.28,22598.50,31998.40,23748.71,21170.99,21391.60,22120.05,34816.25,21289.34,21249.89,29726.24,31496.06,22970.30,21015.12,21326.12,30198.72,29218.15,22338.09,22463.75,22366.78,22260.76,21714.43,22038.08,21798.57,22890.48,23074.30
384.000000,33069.36,22012.57,22099.30,23855.29,36206.18,33890.04,21881.70,22021.14,23900.26,36946.82,22385.07,22013.66,22712.60,34478.48,24532.02,21862.86,22242.12,33227.04,37404.06,23769.42,22958.35,24708.83,22856.06,23229.90,23019.08,23585.35,24760.66,23602.39
512.000000,29517.54,21594.38,22026.27,25343.35,38436.31,29462.75,21414.02,21978.49,24422.46,38373.58,22079.97,22147.53,29114.74,38703.56,25079.31,21888.07,21604.86,29192.90,37502.17,24544.79,22666.49,22631.30,21186.11,21669.32,21820.04,22367.65,22404.80,22627.42
768.000000,27929.13,19558.17,21984.47,26029.11,40499.23,27925.01,21670.51,21590.59,25460.84,40390.95,21915.08,22192.75,27207.57,37998.39,25996.12,22049.12,21719.62,28600.98,37932.36,25381.24,21962.89,21823.52,21478.04,22039.24,22484.80,21540.52,22164.78,21771.26
1024.000000,25211.77,21399.05,21593.32,26504.20,41603.80,25188.80,21567.86,21496.12,26047.24,40185.31,18450.38,18850.95,25450.71,41945.25,26498.82,21392.72,21655.42,25432.87,40506.62,25884.33,20424.04,20221.88,20593.03,20360.57,20545.71,20205.40,20578.96,20491.95
1536.000000,22660.80,20183.82,19981.49,27118.33,42673.39,23130.77,20068.94,19678.54,26367.35,42481.66,19902.48,20296.76,22424.07,41861.08,27089.15,19801.64,15757.80,22918.45,42737.12,26352.99,19737.93,18832.37,19552.65,19268.24,19471.21,18974.73,19301.89,19103.47
2048.000000,21953.78,19006.02,18926.29,27210.97,43105.70,21385.07,18696.31,18681.52,26632.39,43277.76,14154.41,19032.66,21969.29,43236.90,27313.54,18738.27,18763.46,21865.50,42749.09,26613.76,18788.72,18261.29,18977.69,18849.75,18566.92,18618.55,18610.22,18792.96
3072.000000,19550.27,17762.95,17547.64,27549.04,43579.41,19456.57,17460.35,17387.99,26824.28,43532.49,17791.87,17905.71,19550.37,43767.98,27516.85,17587.04,17634.20,19480.66,43563.28,26833.24,17803.36,17397.52,18036.00,17902.32,17677.52,17577.08,17473.91,17621.04
4096.000000,13104.51,17067.83,16972.50,27582.63,43995.29,18120.79,16796.56,16600.79,26982.04,43727.53,17178.55,17188.41,18089.89,43959.16,27579.83,16644.97,16773.63,18038.76,44054.17,27045.07,16585.75,16820.00,16920.20,16874.04,16841.36,16957.98,16848.57,16902.53
6144.000000,16566.62,15870.01,15902.65,27714.12,44004.55,16538.33,15678.30,15638.54,27109.86,44439.99,15901.40,15889.74,16586.54,44278.46,27658.76,15673.15,15694.40,16552.85,44254.62,27139.71,16059.96,16122.09,15959.75,16201.92,15773.48,15827.55,15860.19,15828.83
8192.000000,15590.22,15140.08,15162.78,27730.19,44393.05,15374.08,14944.14,14940.00,27148.61,44142.96,14966.78,15035.19,15496.79,44573.56,27679.15,14765.75,14857.82,15429.96,44626.52,27197.78,14830.60,14944.94,15440.35,15469.14,15154.91,15091.77,15011.35,15106.72
12288.000000,15183.21,14986.96,14945.13,27711.00,44268.69,15215.93,14695.26,14606.34,27290.77,44266.30,14788.61,14882.91,15204.72,44571.97,27647.02,14497.10,5156.31,5264.92,42063.43,24299.73,7608.87,14846.36,14982.78,14779.22,14954.02,15016.07,14844.62,15018.68
