Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU1 to GPU0 (pinned),CPU1 to GPU1 (pinned),CPU1 to GPU2 (pinned),CPU1 to GPU3 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU0 to CPU1 (pinned),GPU1 to CPU1 (pinned),GPU2 to CPU1 (pinned),GPU3 to CPU1 (pinned)
0.001953,175.18,148.05,24.73,187.12,180.21,177.3,188.78,190.81,222.43,221.09,195.12,198.41,198.21,194.75,197.17,205.83
0.00293,281.51,282.38,274.19,275.11,246.79,249.59,143.18,279.79,281.78,287.03,275.04,278.46,297.37,294.97,298.16,302.65
0.003906,370.44,267.73,309.45,301.5,329.92,331.35,175.35,357.45,444.85,431.77,390.08,399.66,391.6,393.38,397.62,346.73
0.005859,350.02,310.5,237.04,339.3,363.01,363.87,484.41,493.09,567.88,406.11,408.43,367.11,586.17,587.76,590.25,591.8
0.007812,658.12,661.63,652.02,655.08,642.32,641.21,350.02,642.26,750.19,741.93,737.31,740.87,779.54,782.5,786.76,794.11
0.011719,861.23,843.56,469.01,813.92,927.63,915.46,955,944.91,1138.52,1122.81,1073.34,1115.22,1177.41,1187.19,1181.56,1181.09
0.015625,1074.84,939.85,620.16,1080.49,1182.55,1203.96,1245.02,1228.09,1055.96,1063.79,1138.77,1266.93,1569.88,1565.63,1569.25,1568.62
0.023438,1643.24,1619.06,804.17,1616.83,1561.25,1588.66,1584.58,1591.03,2395.25,2383.8,2329.54,2363.13,2325.15,2338.84,2366.47,2348.92
0.03125,3028.1,3050.57,2741.47,2712.44,2745.08,2765.98,2773.34,2764.51,3163.28,3205.46,2755.49,3058.03,3012.63,2936.75,3120.63,3147.66
0.046875,4133.23,4137.25,4061.61,4085.68,4139.44,4113.65,4065.13,4117.98,4177.44,4232.89,4106.08,4145.66,4112.56,4097.11,4175.95,4591.54
0.0625,5554.57,5580.86,5323.68,5306.95,4868.36,4864.57,4858.14,5382.83,5057.86,5059.09,3985.46,4749.96,4883.96,4880.14,5451.37,5500.31
0.09375,6637.17,5420.02,5514.71,5709.5,7226.55,7236.03,7294.58,7305.95,6568.35,6662.64,5965.64,5695.63,6607.7,6565.59,7343.73,7995.05
0.125,7107.12,9092.23,8757.79,8749.21,8647.53,8759.02,8650.52,8784.88,6519.92,6391.9,5928.1,5732.1,8002.05,8012.31,9637.63,9836.32
0.1875,7001.49,7070.67,6880.23,6796.43,11748.86,11653.2,11640.18,12017.69,6991.57,11178.01,10091.5,10263.85,10178.05,10157.65,12154.8,12898.12
0.25,11661.54,12001.92,10253.05,11770.8,13568.52,13539.13,13594.34,13553.81,11716.19,11083.03,10138.7,10387.67,11744.26,11802.47,14613.9,14796.4
0.375,15055.4,17715.42,14793.48,13855.02,16221.83,16445.2,16522.01,16996.78,16237.28,15444.17,13861.17,13940,11822.57,12804.32,16882.01,18203
0.5,19504.58,19681.94,18327.77,18454.27,18380.33,18410.78,18588.74,19287.15,17297.45,17080.59,15075.68,14663.62,14665.34,14133.48,19709.09,20764.12
0.75,21980.6,22080.25,20282.88,20922.25,20392.07,20794.06,21058.54,21811.84,19636.08,19693.31,16691.89,16495.12,16358.76,16620.5,23559.72,22988.51
1,23505.63,23598.82,20301.27,22000.75,22116.55,22094.56,23255.81,23116.04,19470.4,20433.6,17236.62,17536.17,17426.76,17435.58,23486.31,24383.11
1.5,25279.76,25731.19,16884.67,23370.31,23075.86,23197.55,23906.67,24636.61,19942.83,22519.82,18137.63,18023.86,18074.9,18149.7,25110.07,24779.46
2,25931.26,25722.15,24353.12,23888.3,24150.21,24263.01,25533.33,25976.72,23402.76,21583.82,18662.29,18738.17,18752.75,18763.31,26101.82,26580.9
3,27760.3,27744.38,25480.74,25254.86,25319.45,25286.79,27003.19,27406.52,22359.36,21409.76,19302.78,17853,17784.94,19412.83,27838.35,28266.95
4,28424.64,28444.44,26091.44,26116.82,25973.01,26210.77,28134.54,28314.78,26449.25,26416.59,19617.36,19691.53,19663.75,19719.98,28615.37,29128.41
6,29417.24,29344.3,26484.8,26941.59,26874.98,26959.14,29132.29,29217.55,24003.55,23948.85,20006.2,20039.28,20055.62,20048.65,30214.37,30295.07
8,29603.75,29676.23,27365.02,27169.02,27219.31,27340.43,29452.37,29573.66,24974.32,26362.79,20213.2,20243.73,20267.58,20240.2,30616.97,30652.28
12,28893.17,30697.6,26949.58,27525.97,27653.08,27612.11,30254.36,29979.54,25360.33,25618.86,20420.84,20457.85,20467.55,20450.66,30692.11,30738.89
16,30869.97,30858.6,27883.26,27102.61,27987.49,27971.25,29732.81,29750.34,24171.63,24638.77,20399.45,20483.04,20560.27,20556.15,30622.48,30740.85
24,31137.69,31092.31,27992.81,28238.38,28243.43,28259.46,29359.59,29494.72,23971,24452.77,20647.29,20639.53,20654.01,20655.63,31228.37,31168.55
32,30633.65,31271.65,28334.33,27884.64,28232.71,28362.01,29685.07,30715.66,21937.54,23125.9,20696.45,20688.26,20711.46,20702.49,31338.57,31397.85
48,31039.65,31082.61,28135.61,27626.57,28061.79,28495.09,31284.87,31340.92,21515.53,24138.4,20743.1,20755.06,20754.53,20761.25,31383.05,31376.42
64,30096.88,30053.65,27623.3,27612.22,27915.46,28263.58,30967.72,30750.1,20422.8,20593.45,20768.82,20775.2,20779.84,20768.96,31352.66,31422.59
96,30472.33,30121.85,27350.31,27544.87,28307.85,28254.17,30623.42,30899.25,18926.61,19609.47,20795.38,20804.94,20787.56,20792.2,31436.99,31360.12
128,30175.67,29985.09,27583.62,27601.41,28225.71,27957.66,30454.39,30623.53,18825.19,18999.35,20799.11,20809.13,20823.87,20822.09,31571.32,31313.36
192,30106.24,30090.9,27467.85,27620.55,27605.41,27829.98,30604.81,30406.67,17780.21,17835.61,20814.85,20826.67,20834.19,20829.91,31452.1,31450.1
256,30067.26,30098.12,27595.42,27560.1,27912.11,27998.67,30356.11,30490.47,18064.2,18058.85,20823.26,20826.83,20840.71,20841.8,31321.33,31187.43
384,30131.11,30125.3,27504.88,27620.01,27817.43,27887.03,30304.77,30404.59,19366.99,19019.56,20828.45,20831.13,20845.27,20836.75,30211,30117.41
512,30086.72,30148.41,27547.99,27608.19,27755.52,27786.39,30312.3,30378.1,20218.07,20258.2,20835.81,20841.28,20843.54,20846.55,30530.07,30514.75
768,30090.68,30096.57,27565.99,27372.74,27856.41,27857.32,30257.59,30346.72,21112.07,19879.91,20828.85,20841.4,20843.36,20833.92,30753.89,30712.11
1024,30099.57,30082.62,27571.61,27490.3,27679.68,27759.2,30300.81,30428.48,19800.3,19651.28,20831.2,20844.33,20475.21,20486.03,30882.87,30869.05
1536,30076.61,30039.69,27580.94,26832.71,27634.52,27782.18,30278.56,30330.29,21019.86,20998.27,20821.29,20841.84,20587.56,20467.31,30995.54,30995.55
2048,30048.8,30080.37,27001.71,27058.88,27728.08,27676.05,30238.69,30309.07,21012.85,21758.59,20829.63,20846.21,20466.83,20463.76,30838.09,31041.44
3072,30078.61,30072.74,27126.53,26515.05,27609.44,27268.17,29866.35,30292.35,23016.04,22666.7,20800.07,20806.59,20500.58,20475.82,31042.68,31078.76
4096,30086.83,30090.19,26948.8,26727.85,27244.62,27253.5,29937,30294.62,23050.52,22781.26,20703.44,20713.57,20467.82,20389.73,31029.29,31272.06
6144,29972.77,29967.76,26914.5,26344.76,26984.83,27351.64,29735.67,30231.45,23310.43,22983.75,20561.22,20631.83,20258.29,20236.18,30979.14,31061.62
8192,29932.04,29918.86,26674.36,26376.86,26950.43,26997.66,29644.26,30227.78,23774.92,23014.38,20521.03,20455.53,20090.15,20152.12,30838.43,31026.09
12288,29906.96,29905.84,26555,25999.68,26854.13,26766.54,29556.26,30222.02,24166.38,23871.95,20454.62,20443.63,20045.33,20035.6,30605.95,30795.22
