Transfer Size (MB),GPU1 to GPU0 (peer),GPU2 to GPU0 (peer),GPU3 to GPU0 (peer),GPU0 to GPU1 (peer),GPU2 to GPU1 (peer),GPU3 to GPU1 (peer),GPU0 to GPU2 (peer),GPU1 to GPU2 (peer),GPU3 to GPU2 (peer),GPU0 to GPU3 (peer),GPU1 to GPU3 (peer),GPU2 to GPU3 (peer)
0.001953,91.27,72.58,85.14,88.86,86.82,86.37,89.73,89.01,85.52,88.6,90.08,85.18
0.00293,134.95,129.08,129.79,134.43,129.06,129.04,133.77,133.88,127.81,136.82,134.12,127.38
0.003906,180.99,172.16,170.48,180.25,172.66,170.13,177.36,177.56,170.56,178.23,177.71,170.48
0.005859,268.16,261.14,260.36,271.56,256.92,256.29,266.69,268.59,254,265.06,268.3,256.84
0.007812,359.99,343.18,342.95,360.44,342.4,343.48,355.45,358.88,339.38,355.42,355.36,345.62
0.011719,535.98,518.16,515.5,533.88,515.22,513.24,536.7,532.31,514.91,534.93,532.84,510.89
0.015625,722.64,686.36,693.64,724.02,689.05,685.49,714.97,714.55,682.91,717.4,719.02,683.12
0.023438,1085.17,1035.36,1029.99,1073.69,1030.99,1021.24,1070.74,1071.67,1034.45,1078.03,1066.46,1029.31
0.03125,1434.87,1386.42,1381.77,1435.92,1378.17,1369.35,1427.14,1442.55,1365.82,1435.46,1437.24,1366.48
0.046875,2153.98,2102.77,2062.89,2140.41,2058.09,2067.62,2159.54,2146.19,2059.35,2141.78,2173.66,2057.18
0.0625,2863.69,2750.64,2764.14,2916.74,2728.19,2752.09,2887.77,2879.92,2734.03,2886.44,2897.68,2706.68
0.09375,4285.52,4071.13,3902.35,4282.78,3965.4,3975.32,4134.87,4206.3,4077.68,4256.91,4140.54,4026.54
0.125,5792.67,5137.48,5010.02,5710.37,5111.22,5095.8,5319.38,5327.76,5442.35,5315.08,5124.84,5444.73
0.1875,8578.09,7048.87,6855.33,8644.14,7014.33,6859.84,7186.39,7238.54,8142.97,7275.06,7081.62,8147.57
0.25,10874.77,8642.44,8394.33,10839.4,8620.69,8468.83,8898.06,8865.25,10437.54,8942.62,8734.54,10324.61
0.375,15356.89,11214.79,10948.91,15307.37,11135.53,11082.54,11435.37,11538.82,14503.4,11536.33,11315.29,14564.8
0.5,18729.4,13223.32,12809.02,18804.06,13002.89,13023.55,13352.2,13356.48,17822.77,13426.78,13320.9,17973.33
0.75,25009.17,16124.87,15699.24,24900.4,15982.95,15827.79,16132.5,16195.91,23782.34,16516.19,16124.87,23800.46
1,29815.15,18035.89,17678.78,29243.19,17919.86,17666.91,18025.16,17928.54,28308.56,18340.88,18024.19,28226.26
1.5,36685.58,20405.39,20105.08,36347.78,20337.88,20184.89,20491.8,20432.63,35069.67,20824.95,20335.67,35001.75
2,41238.81,21922.13,21506.76,40577.01,21792.43,21674.81,21932.95,21784.59,39936.9,22215.06,21787.44,39833.5
3,47194.3,23456.56,23414.09,47079.5,23500.66,23586.57,23629.49,23382.15,46030.63,23665.46,23642.34,46219.98
4,51049.06,24372.26,24458.7,50890.59,24393.66,24563.99,24578.18,24279.8,49966.27,24606,24674.76,50180.02
6,55388.88,25627.66,25480.52,55365.37,25547.35,25523.88,25631.28,25404.14,54755.02,25689.44,25591.59,54730.04
