Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable),CPU1 to GPU0 (pageable),CPU1 to GPU1 (pageable),CPU1 to GPU2 (pageable),CPU1 to GPU3 (pageable),GPU0 to CPU0 (pageable),GPU1 to CPU0 (pageable),GPU2 to CPU0 (pageable),GPU3 to CPU0 (pageable),GPU0 to CPU1 (pageable),GPU1 to CPU1 (pageable),GPU2 to CPU1 (pageable),GPU3 to CPU1 (pageable)
512,28485.03,28482.7,27146.75,27162.45,16069.36,16068.24,28438.41,28449.7,11990.42,11913.35,14042.71,14651.53,11719.97,11648.41,14615.18,13933
768,28502.66,28498,27163.81,27174.82,16066.99,16070.32,28458.3,28465.44,12080.49,11861.85,14612.49,14974.75,11752.26,11517.83,14628.31,13962.46
1024,28513.27,28509.79,27174.41,27187.35,16059.84,16070.4,28465.34,28475.17,11899.77,12011.35,14691.42,14927.95,11759.51,11515.83,14553.21,13998.71
1536,28520.61,28512.85,27185.11,27191.28,16068.37,21071.75,28473.09,28484.58,11851.39,12000.52,14636.29,15049.12,11758.03,11582.04,14551.57,14022.93
2048,28523.23,28522.57,27183.11,27201.48,18053.63,21082.22,28476.2,28488.09,11965.19,11891.4,14464.86,14856.69,11688.48,11470.36,14524.51,14018.74
3072,28493.47,28491.86,27182.71,27195.04,16027.72,16101.04,28451.33,28463.56,11998.93,11635.78,14716.07,14851.9,11753.33,11505.5,14486.25,13999.4
4096,28478.04,28476.13,27178.92,27200.39,16023.72,16024.55,28441.89,28452.08,11935.9,12001.01,14567.72,14811.49,11953.76,11490.65,14490.5,13996.02
6144,28477.2,28473.86,27181.53,27194.39,16025.45,16023.52,28441.21,28452.58,11920.6,12005.02,15045.65,14529.02,11725.5,11499.92,14543.13,14013.59
8192,28477.32,28473.94,27185.39,27203.06,16023.64,16026.18,28443.03,28454.53,11643.65,11828.93,14706.85,15028.29,11666.68,11494.11,14540.17,14012.54
12288,28486.48,28478.67,27188.59,27187.18,16025.75,16024.27,28443.2,28454.89,11791.33,11832.65,15017.28,14559.09,11652.26,11588.64,14574.97,14050.08
