Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU8 to GPU0 (pinned),CPU8 to GPU1 (pinned),CPU8 to GPU2 (pinned),CPU8 to GPU3 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU0 to CPU8 (pinned),GPU1 to CPU8 (pinned),GPU2 to CPU8 (pinned),GPU3 to CPU8 (pinned)
512,67125.9,67118.48,39689.43,39700.78,39701.48,39707.52,67112.73,67108.45,67168.93,67166.32,35356.86,35044.69,35322.86,34811.77,67153.79,67149.95
768,67183.6,67165.5,39720.47,39714.37,39722.25,39722.25,67172.59,67159.28,67216.94,67219.24,35431.89,35019.29,35339.6,34905.84,67200.26,67200.41
1024,67205.56,67196.97,39727.61,39722.07,39735.62,39730.32,67198.64,67186.14,67241.16,67239.75,35434.57,35093.81,35382.36,34930.61,67228.71,67229.87
1536,67233.85,67222.4,39587.14,39597.06,39742.68,39595.79,67230.96,67219.49,67266.79,67267.95,35324.39,35046.85,35324.91,34916.32,67260.66,67259.5
2048,67245.13,67233.42,39748.36,39676.27,39745.97,39680.24,67238.81,67230.21,67280.71,67280.3,35489.64,35087.53,35427.95,35026.06,67274.47,67275.14
3072,67257.53,67244.88,39737.06,39750.5,39737.77,39742.86,67252.71,67246.03,67293.42,67293.35,35557.48,35219.67,35463.45,35135.17,67289.41,67289.51
4096,67262.26,67251.21,39745.97,39751.76,39743.87,39744.62,67258.82,67251.76,67300.7,67300.76,35597.67,35222.58,35466.61,35097.21,67296.44,67296.99
6144,67116.99,67105.83,39529.43,39531,39531.2,39539.93,67115.32,67102.15,67049.96,67049.54,35443.26,35148.33,35343.67,34944.01,67049.01,67049.66
8192,67035.99,67023.9,39423.66,39425.06,39433.07,39422.5,67047.13,67027.23,66923.64,66922.29,35376.98,35081.59,35272.36,34944.67,66925.6,66924.88
12288,66955.65,66952.23,39318.4,39321.27,39318.77,39323.53,66962.95,66948,66798.52,66798.06,35298.98,34957.21,35217.04,34902.81,66799.88,66800.08
