Transfer Size (MB),CPU0 to GPU0 (wc),CPU0 to GPU1 (wc),CPU0 to GPU2 (wc),CPU0 to GPU3 (wc),CPU1 to GPU0 (wc),CPU1 to GPU1 (wc),CPU1 to GPU2 (wc),CPU1 to GPU3 (wc),GPU0 to CPU0 (wc),GPU1 to CPU0 (wc),GPU2 to CPU0 (wc),GPU3 to CPU0 (wc),GPU0 to CPU1 (wc),GPU1 to CPU1 (wc),GPU2 to CPU1 (wc),GPU3 to CPU1 (wc)
0.001953,173.67,194.44,169.9,188.96,194.07,194.3,187.78,187.62,225.17,230.62,225.53,224.63,226.79,232.76,225.77,223.21
0.00293,285.32,286.21,279.34,276.05,285.66,286.89,273.32,273.29,334.29,344.26,332.2,334.97,339.16,347.7,338.54,336.4
0.003906,375.35,379.51,333.75,359.33,373.77,371.28,365,364.93,450.55,462.39,444.45,443.94,446.79,460.81,445.51,444.95
0.005859,504.81,499.65,495.3,321.41,324.96,501.36,494.5,486.86,674.81,678.48,601.89,664.48,678.88,684.11,596.86,631.26
0.007812,660.79,666.42,656.84,637.96,661.01,656.18,649.58,646.25,816.69,834.76,800.54,789.62,805.33,881.47,799.97,792.74
0.011719,986.34,970.9,963.08,955.77,978.19,965.94,961.42,951.04,1221.34,1198.36,1199.71,1177.17,1209.86,1344.2,1204.77,1187.67
0.015625,1257.24,1264.26,1246.71,1222.52,1274.37,1241.46,1247.31,1231.67,1608.01,1601.25,1608.34,1575.42,1616.83,1637.67,1609.33,1594.88
0.023438,1637.73,1632.59,1632.93,1602.34,1640.13,1637.38,1633.96,1609.28,2407.8,2381.13,2401.63,2385.01,2392.31,2397.7,2422.73,2358.13
0.03125,3171.3,3169.69,3059.83,3065.83,3154.65,3182.93,3029.27,3080.64,3225.31,3174.52,3138.5,3161.36,3193.01,3199.55,3144.5,3149.57
0.046875,4215.76,4122.33,4186.76,4089.24,4208.57,4177.81,4177.81,4114.01,4802.77,4796.87,4196.51,4194.26,4833.97,4806.71,4213.48,4119.79
0.0625,5627.59,5534.89,5565.45,5480.53,5605.38,5512.44,5545.7,5514.38,5705.16,5955.78,5477.65,5449.47,5892.89,5905.14,5417.35,5466.15
0.09375,7444.02,7407.55,7425.74,7316.22,7439.3,7440.48,7395.87,7308.23,8403.55,8320.76,7257.32,7154.3,8405.81,8351.89,7252.82,7217.09
0.125,8923.47,9544.9,8949.03,8739.43,9515.11,9619.08,8893.63,8711.41,9934.83,9744.31,8632,8602.89,10004,9889.24,8158.2,8636.18
0.1875,12162.69,12020.77,11897.21,11854.33,12230.92,12048.58,12010.76,11892.68,13279.98,13398.6,10277.35,10574.1,13438.93,13346.15,10300.5,10259.36
0.25,14583.21,14565.37,13635.87,13479.27,14523.91,14512.1,13542.8,13588.43,14905.8,14849.13,11884.95,11734.33,14963.79,15414.02,11946.86,11895.13
0.375,17652.87,17567.69,16776.27,16532.93,17557,17563.58,16622.34,16578.98,18034.92,17723.79,14111.54,13932.23,17982.16,17833.37,14176.09,13929.65
0.5,19624,19723.09,18667.16,18525.38,19583.27,19465.1,18661.59,18580.45,19937.79,19964.86,15430.19,15373.26,19938.59,20554.14,15425.43,15417.82
0.75,22151.34,22080.25,21140.46,21053.81,22176.88,22060.12,21055,21120.81,22447.03,22906.36,14761.45,16740.32,22436.28,22238.7,16865.68,16845.23
1,23106.96,23576.01,22388.39,22507.31,23493.48,23590.47,22358.86,22471.91,24013.06,23868.06,17625.18,17622.39,23963.58,23856.1,17604.08,17628.91
