Transfer Size (MB),CPU0 to GPU0 (wc),CPU0 to GPU1 (wc),CPU0 to GPU2 (wc),CPU0 to GPU3 (wc),CPU1 to GPU0 (wc),CPU1 to GPU1 (wc),CPU1 to GPU2 (wc),CPU1 to GPU3 (wc),GPU0 to CPU0 (wc),GPU1 to CPU0 (wc),GPU2 to CPU0 (wc),GPU3 to CPU0 (wc),GPU0 to CPU1 (wc),GPU1 to CPU1 (wc),GPU2 to CPU1 (wc),GPU3 to CPU1 (wc)
1.5,24877.68,24799.95,23611.64,23648.12,24880.99,24857.07,23635.07,23579.72,25721.93,25501.53,18257.95,18241.3,25753.73,25520.19,18284.66,17271.55
2,26029.47,25956.83,24763.51,24539.28,26088.54,25897.34,24713.02,24559.46,27095.5,27062.87,18863.12,18855.12,27124.9,26962.17,18847.12,18792.05
3,27510.82,27438.1,25935.4,25786.04,27501.74,27478.06,25922.85,25907.41,28642.9,28673.29,19474.58,19494.32,28670.55,28599.21,19489,19485.83
4,28284.54,28293.95,26433.35,26473.41,28286.94,28274.35,26414.15,26415.37,29423.66,29445.97,19764.9,19760.89,29443.37,29483.74,19761.28,19765.29
6,29512.89,29540.79,27097.09,27071.66,29510.13,29519.13,27110.31,27118.4,30355.16,30362.37,20107.24,20091.08,30304.1,30353.77,20108.32,20109.73
8,29957.05,30030.03,27508.24,27516.94,30035.67,30000.08,27521.2,27498.4,30848.01,30838.74,20275.13,20291.69,30830.89,30839.45,20294.52,20273.03
12,29790.28,29809.37,27941.16,27894.72,29717.46,29759.84,27937.45,27920.42,31332.33,31364.27,20481.38,20474.36,31360.58,31364.51,20470.2,20465.56
16,29637.37,29601.73,28152.81,28156.42,29709.63,29668.8,28112.99,28129.49,31637.31,31643.63,20576.87,20574.33,31610.81,31634.87,20569.94,20570.1
24,29502.8,29613.8,28354.82,28373.66,29495.66,29519.64,28346.88,28355.56,31912.47,31897.59,20672.33,20670.37,31916.46,31903.31,20668.27,20667.51
32,29416.55,29622.77,28482.19,28469.27,29454.13,29389.37,28468.79,28476.26,32034.05,32037.84,20717.62,20715.06,32041.2,32036.36,20718.04,20718.25
48,29373.59,29824.69,28582.54,28586.5,29392.49,29553.48,28590.44,28594.97,32173.61,32173.37,20767.46,20766.63,32178.74,32173.46,20765.71,20763.45
64,29415.83,30626,28680.5,28686.16,31118.63,30761.02,28692.82,28688.98,32238.16,32239.8,20789.51,20791.49,32243.94,32240.9,20790.01,20790.77
96,31418.03,31527.64,28635.56,28634.35,31338.55,31361.7,28635.41,28631,32306.79,32304,20816.69,20815.83,32306.39,32307.21,20816.67,20815.74
128,31407.05,30656.27,28397.82,28416.53,30803.07,30742.59,28401.89,28386.81,32350.1,32349.99,20828.19,20828.34,32352.86,32348.94,20828.1,20827.48
192,30622.88,30545.57,28216.67,28208.14,30472.89,30455.77,28201.07,28187.19,32385.6,32385.09,20841.43,20840.39,32385.27,32383.65,20841.85,20841.59
256,30563.22,30524.1,28123.08,28102.29,30491.41,30506.43,28134.77,28085.82,32399.33,32399.04,20845.77,20846.59,32400.29,32399.05,20846.55,20845.39
384,30517.92,30468.18,28058.9,28046.77,30520.22,30483.06,28005.01,28021.23,32404.27,32397.43,20853.18,20852.82,32399.59,32394.28,20852.73,20852.32
512,30461.86,30426.86,28015.02,28014.47,30473.92,30438.41,28026.03,27992.39,32405.51,32404.67,20855.94,20855.86,32404.12,32395.38,20856.11,20855.88
768,27942.87,27932.63,30479.23,30462.6,27941.39,30465.6,27969.32,27969.34,32412.65,32413.97,20859.28,20859.21,32412.31,32411.76,20859.11,20858.78
1024,30455.4,30438.02,27959.43,27933.2,30441.14,30456.23,27947.31,27947.19,32386.27,32387.78,20860.55,20860.63,32385.35,32385.54,20860.41,20860.56
1536,30448.6,30454.64,27947.21,27947.63,30447.87,30435.97,27937.74,27939.45,32405.98,32404.71,20861.99,20861.8,32406.54,32404.4,20862.14,20861.58
2048,30443.58,30454.94,27937.41,27926.12,30428.71,30424.04,27925.18,27922.59,32416.53,32418.59,20863.05,20862.72,32401.99,32403.02,20862.47,20862.84
3072,30435.29,30417.52,27930.23,27928.8,30424.49,30420.37,27926.72,27924.14,32415.24,32418.05,20863.43,20863.58,32420.41,32416.44,20863.23,20863.28
4096,30421.15,30373.37,27891.32,27918.51,30378.63,30414.12,30465.87,27927.41,32428.33,32429.09,20863.95,20863.7,32428.66,32427.63,20863.67,20863.74
6144,30322.33,30281.44,27782.35,27806.21,30284.98,30320.86,27810.41,27808.26,32260.93,32258.68,20755.97,20755.83,32257.23,32258.26,20756.02,20756.14
8192,30280.94,30248.48,27727.61,27750.78,30245.69,30275.34,27749.92,27754.91,32183.15,32180.54,20702.38,20702.32,32180.6,32178.61,20702.6,20702.64
12288,27625.23,30192.59,27674.14,27694.77,30199.66,30231.67,27696.26,27695.83,32109.13,32108.76,20649.09,20649.1,32108.5,32109.52,20649.48,20649.07
