Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU8 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU8 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU8 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU8 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU8 to GPU0 (coherence),CPU8 to GPU1 (coherence),CPU8 to GPU2 (coherence),CPU8 to GPU3 (coherence)
8,17063.57,11979.31,12031.03,2519.28,4851.62,16776.34,11836.93,11998.43,2439.18,2706.63,12256.05,12860.76,16639.56,2222.57,2929.86,11941.31,12706.78,17326.52,5468.17,10912.77,14444.74,13596.84,12473.26,11899.89,12665.54,12600.89,13896.75,13727.68
12,18040.61,12313.32,12456.56,12754.48,8774.23,17775.49,12287.01,12162.28,4456.05,4418.99,12480.2,13195.38,16817.06,5127.83,4977.03,12270.9,13122.51,17729.32,5937.81,6400.07,15265.99,14652.07,12946.03,12879.79,13166.73,12538.63,14778.76,14813.17
16,18142.73,12369.94,12547.94,5622.04,8103.79,18118.96,12349.03,12365.79,9302.68,4364.74,12538.16,13350.21,17867.37,5553.93,15012.63,12483.63,13240.2,18016.66,7916.84,11284.68,15427.05,14934.8,13297.53,12983.65,13349.17,13140.17,15554.91,15562.45
24,22846.13,15773.61,15830.56,6647.55,10131.34,23580.94,15658.84,15548.74,9722.28,8820.36,16717.91,16364.98,23677.23,7908.26,7647.21,16234.48,16229.84,23869.29,7487.73,17563.72,19604.18,18720.46,16848.44,16941.57,17008.27,16788.35,19519.69,19122.97
32,23770.01,16146.02,16112.61,12413.52,10792.77,24621.69,16024.43,16261.7,14619.99,10886.72,17026.8,16438.06,24934.26,7902.45,9577.27,16447.35,16503.41,24599.24,10142.33,19490.86,20165.9,18977.1,17256.42,17218.66,17542.47,17488.76,19789.09,19416.25
48,28943.93,18655.17,18765.8,10321.91,10086.39,30727.51,18956.87,18744.87,13632.03,15807.9,18732.76,19174.61,30813.89,14893.88,12024.58,18629.37,18914.51,31263.92,10234.89,13688.45,22345.62,21644.33,18116.75,18284.57,18121.06,18150.06,22002.7,21728.54
64,28828.44,18677.55,18574.53,13066.9,13189.48,29751,18353.06,18546.2,15576.48,15989.38,18773.37,18298.92,29997.5,12475.56,15806.27,18639.44,18385.13,29920.97,17698.86,15197.41,21981.05,21161.11,17537.13,16483.88,17681.12,17757.71,21540.8,21437.76
96,38030.9,21096.9,21196.97,17048.49,16235.68,37261.21,20915.46,21047.3,28411.1,17393.6,21264.14,21462.77,37430.62,16888.66,16383.45,21029.62,21226.33,38068.64,11640.3,23598.84,26953.5,26380.64,21894,22982.96,22233.14,22227.89,24182.32,26093.66
128,38558.36,21268.77,21533.51,21257.79,17980.59,38880.34,20773.06,21339.57,23668.67,19201.88,21535.09,21910.88,32796.45,20315.94,29569.16,21474.89,21743.34,38482.8,16811.44,20979.83,27716.16,27117.63,23786.52,23679.52,23355.18,23910.69,26608.55,26857.84
192,40792.15,22430.51,22451.79,28171.61,20840.03,39823.46,21817.35,22017.63,29029.67,21793.22,22382.9,22383.68,40936.66,20768.16,25673.44,22215.51,22558.74,40224.01,21270.66,32348.6,26055.83,28293.19,25454.44,25387.22,23186.24,25912.76,28646.67,28706.16
256,39676.26,22404.16,22500.13,34366.88,23563.19,38114.43,22224.09,22244.91,28978.78,23371.09,22426.51,22861.77,39060.04,23524.1,33723.99,22195.32,22673.98,38868.5,23516.88,34925.16,28428.03,27771.34,25781.29,25969.88,25099.24,26339.36,28887.25,28708.3
384,37476.22,21887.88,22017.83,33744.74,24603.75,36817.78,21908.38,21669.44,33828.49,24647.04,21822,22346.75,36945.25,25841.43,36421.71,21703.7,22172.58,36911.59,24162.31,37854.46,26280.9,25446.48,24062.96,24222.18,23998.39,25056.76,26511.01,25676.36
512,37246.82,22097.74,22161.42,33793.53,25876.85,38522.23,21793.61,21980.5,36919.28,25164.28,22080.99,22320.18,38081.34,26072.77,36536.75,22113.29,22162.02,38006.01,25246.4,36173.78,26558.4,25648.84,24351.8,24571.36,24655.59,24778.45,26261.13,25766.91
768,35336.27,22017,22170.32,38896.54,26620.12,34402.57,21340.72,21938.48,40303.77,25825.85,22079.63,22167.47,34333.67,26750.63,40714.22,21936.01,21963.58,34253.23,26152.44,40325.38,25286.61,25809.64,23471.02,23587.69,24171.07,24138.86,25355.45,25026.27
1024,31340.22,21771.54,21891.23,41742.06,27185.41,30967.43,21599.93,21633.36,41879.92,26426.74,21727.11,21805.35,30939.1,27308.32,41777.89,21549.87,21644.22,31156.26,26503.68,40231.58,23890.84,23770.88,22431.08,22380.06,22463.71,22744.71,23177.29,23147.3
1536,30734.9,21226.42,21392.24,42586.99,27537.41,30534.9,17741.92,21245.82,42574.62,26762.53,21195.53,21322.99,30276.99,27737.63,42890.74,21074.58,20436.39,31341.11,27031.02,43096.64,23091.07,20376.55,21852.88,22807.3,22317.05,19517.87,22647.53,22788.3
2048,23196.93,21062.17,21159.53,42918.15,27674.98,29785.18,20626.38,21042.95,42870.02,26874.75,20958.07,21107.89,29745.5,27898.18,42879.83,20824.87,20865.13,30168.16,27171.15,43108.55,22604.39,22199.75,21752.9,22236.55,22031.16,22100.52,22500.36,22382.55
3072,27387.52,20798.91,20950.21,43590.05,27987.29,27122.83,20615.96,20853.56,43387.67,27118.31,20815.72,20965.2,26907.91,28140.62,43390.8,20631.91,20876.01,27285.48,27379.58,43380.02,21395.49,20884.62,20948.27,21779.48,20879.92,21013.12,21104.73,21179.64
4096,24638.39,20410.57,20553.84,43715.47,28146.47,24732.76,20101.08,20392.12,43490.63,27258.03,20324.76,20478.6,24601.92,28280.63,43845.65,20117.39,20430.33,25022.06,27534.41,43827.52,20527.33,19763.36,19780.93,20075.38,20269.99,19706.28,19933.15,19929.98
6144,23103.9,20131.23,20317.22,43980.13,28163.33,22578.33,20012.69,20130.03,43803.19,27414.95,19888.92,20050.49,22915.1,28388.23,44153.49,19837.04,17159.99,22541.6,27603.86,44196.62,19432.37,15983.05,19139.33,19416.91,19124.23,18021.67,19101,19096.86
8192,21948.34,19727.41,19914.1,44165.95,28225.46,22001.87,19501.14,19764.76,44183.77,27454.19,19839.91,19698.7,21960.23,28435.3,43998.44,19356.1,19840.22,21686.18,27658.64,44315.08,18376.17,18483.09,18833.62,18815.65,18764.55,18445.91,18531.02,18542.91
12288,21791.02,19590.99,19799.85,44066.77,28280.37,21740.86,19258.12,19569.2,44126.56,27502.8,19542.77,19459.64,21535.89,28461.33,44156.3,19387.44,19325.52,20990.86,27714.09,44224.58,18033.89,18344.35,18578.92,18856.22,18509.1,18666.63,18224.1,18561.16
