Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable),CPU8 to GPU0 (pageable),CPU8 to GPU1 (pageable),CPU8 to GPU2 (pageable),CPU8 to GPU3 (pageable),GPU0 to CPU0 (pageable),GPU1 to CPU0 (pageable),GPU2 to CPU0 (pageable),GPU3 to CPU0 (pageable),GPU0 to CPU8 (pageable),GPU1 to CPU8 (pageable),GPU2 to CPU8 (pageable),GPU3 to CPU8 (pageable)
0.001953,88.94,120.41,97.96,97.54,114.89,110.82,119.72,119.04,81.62,76.62,76.44,76.78,75.68,73.70,80.89,81.25
0.002930,182.82,177.80,170.42,170.34,170.79,168.11,179.15,181.45,121.61,120.79,116.30,114.60,115.31,110.88,120.24,119.44
0.003906,240.80,235.23,224.50,223.02,217.72,218.37,237.56,238.49,164.64,160.09,153.35,152.65,151.56,147.86,153.24,159.71
0.005859,352.97,350.23,329.47,326.70,318.17,313.70,354.30,347.57,234.44,227.85,229.75,227.34,224.31,221.43,230.51,234.64
0.007812,466.06,456.34,415.60,418.30,416.31,421.36,459.48,457.27,310.87,308.99,303.50,306.56,302.67,298.10,308.25,304.15
0.011719,638.28,626.97,616.00,611.85,603.16,592.90,628.89,630.41,468.77,458.21,459.58,449.63,448.02,436.36,460.10,443.72
0.015625,843.64,812.70,800.13,798.99,800.46,776.86,824.58,819.95,609.33,602.79,605.62,601.93,566.43,576.02,591.97,599.74
0.023438,1163.84,1167.85,1093.58,1084.07,1102.06,1092.05,1161.19,1181.27,923.39,881.34,862.21,866.07,815.53,806.44,861.13,885.57
0.031250,1448.97,1422.91,1362.90,1352.11,1340.74,1378.78,1448.84,1445.62,1183.58,1178.71,1118.55,1095.95,1069.73,1048.06,1139.72,1090.18
0.046875,1892.49,2002.26,1807.47,1801.43,1817.71,1800.25,1957.04,1935.30,1754.04,1741.59,1516.16,1556.38,1450.03,1478.85,1517.33,1545.45
0.062500,2259.25,2362.95,2147.99,2098.44,2177.02,2141.66,2294.84,2286.28,2229.59,2247.31,1948.50,1980.10,1842.24,1819.40,1866.28,1952.64
0.093750,3563.55,3554.37,3309.80,3303.27,3308.86,3286.01,3557.60,3512.29,3115.34,3085.10,2537.28,2599.47,2340.12,2350.39,2545.48,2434.75
0.125000,4452.68,4273.94,4053.31,4107.52,4078.70,4060.16,4382.27,4404.36,3876.57,3842.37,3080.18,2932.96,2781.73,2827.99,2894.59,2994.16
0.187500,5845.31,5878.66,5538.16,5311.16,5455.34,5442.83,5923.98,5936.17,5161.02,5133.61,3926.37,3953.44,3511.50,3495.40,3613.13,3646.80
0.250000,7362.47,7442.69,6660.10,6594.91,6776.35,6542.96,7308.23,7387.71,6331.20,6371.54,4682.00,4814.27,4066.76,3947.95,4291.77,4175.71
0.375000,9470.65,9454.42,8250.64,8545.06,8500.90,8417.51,9173.86,9403.45,8111.26,8054.47,5742.29,5604.46,4926.17,4915.78,4887.08,5028.36
0.500000,10982.49,10960.83,9820.29,9907.86,9882.01,9916.50,10693.81,10999.41,9271.79,9272.31,6305.89,6437.66,5510.98,5460.78,5513.90,5598.67
0.750000,13219.12,13323.62,11600.57,11632.78,11638.37,11545.92,13079.65,13002.10,11239.15,11217.47,7178.68,7354.46,5902.91,6097.86,6055.71,6098.16
1.000000,14789.40,14693.57,12854.63,12841.92,12814.60,12813.12,14436.26,14402.79,12272.65,12493.28,7751.16,7580.70,6537.83,6426.86,6356.59,6434.34
1.500000,17828.70,17738.04,15822.12,15802.12,15935.92,15985.85,18329.79,18156.51,14843.84,14831.07,9428.39,9448.82,9885.40,9704.03,10594.79,10057.33
2.000000,18706.80,18710.12,17703.97,17631.71,17912.32,17781.89,19240.02,19211.19,16836.86,16752.24,9575.47,9407.51,9983.78,10065.83,10769.60,10324.07
