Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable),CPU8 to GPU0 (pageable),CPU8 to GPU1 (pageable),CPU8 to GPU2 (pageable),CPU8 to GPU3 (pageable),GPU0 to CPU0 (pageable),GPU1 to CPU0 (pageable),GPU2 to CPU0 (pageable),GPU3 to CPU0 (pageable),GPU0 to CPU8 (pageable),GPU1 to CPU8 (pageable),GPU2 to CPU8 (pageable),GPU3 to CPU8 (pageable)
3.000000,20522.36,20649.50,20293.99,20365.63,19833.79,20387.36,21306.21,21456.16,18433.29,18467.56,10481.12,10350.61,11036.76,11038.42,12022.36,11801.03
4.000000,21647.48,21740.78,21892.62,21948.72,20824.33,21505.72,22774.89,22804.50,19399.68,19434.93,11140.45,10739.49,11551.81,11554.05,12451.94,12083.35
6.000000,19879.60,22648.77,21399.68,22925.09,15421.23,21490.74,23005.78,23454.36,20458.61,20487.12,11608.67,11406.04,12148.95,12477.41,13375.51,13149.96
8.000000,15351.73,16295.80,16233.24,16132.84,13375.20,16082.28,16339.50,16318.24,19762.06,19915.56,11674.79,11443.45,12124.13,12323.28,13251.88,13303.29
12.000000,12530.01,12267.30,12670.36,12699.35,12520.16,12484.21,13123.33,12803.48,17905.40,18050.60,11761.14,11610.69,12357.90,12463.62,13361.88,13034.62
16.000000,12277.33,12280.36,12285.20,12423.72,12148.86,12489.98,12882.26,12946.67,17628.35,17698.57,12004.03,11794.01,12498.47,12581.39,13510.58,13153.56
24.000000,12246.82,12514.33,12498.86,12593.72,11048.21,11975.67,12033.71,11949.13,17882.85,17846.35,12291.44,12030.10,12708.63,12765.33,13775.54,13396.50
32.000000,12898.26,12963.97,12847.63,12900.06,13060.41,12486.59,12794.72,12663.76,17852.35,17821.80,12341.76,12214.68,12821.35,12900.04,13848.90,13504.42
48.000000,12620.53,12636.48,12511.75,12584.13,12710.90,12631.60,12742.53,12614.18,17684.15,17723.08,12370.92,12172.15,12945.24,13003.53,14054.25,13644.36
64.000000,12131.93,12102.86,12133.96,12122.24,12331.58,12258.86,12347.76,12309.40,17162.84,17130.80,12409.34,12239.73,12995.14,13076.18,14141.78,13651.91
96.000000,12148.93,13084.58,13105.89,13113.01,12409.77,13210.92,13257.64,13260.62,10849.24,10816.18,10590.23,10592.33,12996.07,13080.17,14067.25,13718.97
128.000000,12520.97,12507.01,12502.20,12487.11,12531.72,12539.24,12616.76,12618.57,10744.72,10805.78,10513.28,10544.26,13033.98,13115.91,14110.65,13745.27
192.000000,12544.15,12553.97,12573.42,12523.99,12564.83,12575.59,12641.93,12648.58,10717.63,10693.11,10525.19,10486.35,13100.34,13181.88,14194.95,13761.12
256.000000,12570.81,12576.95,12574.76,12552.06,12581.55,12581.30,12651.45,12658.70,10764.11,10759.58,10573.18,10577.80,13115.40,13220.09,14115.76,13682.60
384.000000,12569.39,12574.88,12578.50,12563.61,12398.91,12498.04,12656.71,12570.53,10817.28,10879.49,10607.52,10603.45,13140.19,13222.00,14105.37,13693.85
512.000000,12578.13,12567.36,11989.17,12567.10,12154.36,12138.31,12575.44,12196.16,10951.87,11035.68,10590.04,10596.11,13140.03,13203.33,14050.27,13584.92
768.000000,12573.25,12189.26,12198.67,12156.21,12299.69,12301.46,12369.83,12356.25,11029.93,11082.13,10823.72,10697.87,13081.44,13165.84,13974.94,13528.09
1024.000000,12336.26,12278.88,12280.54,12274.90,12365.28,12374.50,12438.45,12444.03,11787.01,11453.90,10946.12,11060.46,13103.21,13184.94,13975.33,13532.52
1536.000000,12334.57,12373.31,12375.07,12351.78,12453.03,12456.16,12505.22,12510.65,12266.75,12184.00,11180.81,11137.66,13111.55,13182.13,14011.66,13543.35
2048.000000,12420.25,12427.10,12436.26,12404.66,12494.54,12496.18,12564.21,12565.72,13637.96,13767.53,11563.23,11504.03,13141.20,13227.46,14047.57,13564.03
3072.000000,12350.45,12209.06,12454.43,12468.68,12534.51,12529.68,12581.31,12604.01,14994.25,15046.78,11893.18,11839.84,13155.00,13239.23,14069.28,13593.93
4096.000000,12513.18,12508.38,12501.83,12469.77,12552.18,12547.53,12618.31,12632.70,15718.97,15511.05,12120.80,11995.16,13186.38,13270.37,14117.41,13636.72
6144.000000,12536.36,12527.04,12529.55,12511.26,12573.61,12572.13,12623.87,12637.37,16485.07,16517.08,12246.18,12095.76,13205.39,13288.55,14132.73,13648.68
8192.000000,12566.00,12555.19,12550.50,12617.26,12584.16,12585.58,12639.59,12656.78,16855.87,16915.07,12321.44,12213.41,13210.37,13297.06,14143.71,13642.70
12288.000000,12563.45,12546.88,12558.38,12633.63,12590.94,12590.06,12658.37,12672.41,17386.42,17191.35,12473.19,12299.32,13218.89,13279.57,14175.06,13695.79
