Transfer Size (MB),CPU0 to GPU0 (prefetch),CPU0 to GPU1 (prefetch),CPU0 to GPU2 (prefetch),CPU0 to GPU3 (prefetch),CPU8 to GPU0 (prefetch),CPU8 to GPU1 (prefetch),CPU8 to GPU2 (prefetch),CPU8 to GPU3 (prefetch),GPU0 to CPU0 (prefetch),GPU0 to CPU8 (prefetch),GPU0 to GPU1 (prefetch),GPU0 to GPU2 (prefetch),GPU0 to GPU3 (prefetch),GPU1 to CPU0 (prefetch),GPU1 to CPU8 (prefetch),GPU1 to GPU0 (prefetch),GPU1 to GPU2 (prefetch),GPU1 to GPU3 (prefetch),GPU2 to CPU0 (prefetch),GPU2 to CPU8 (prefetch),GPU2 to GPU0 (prefetch),GPU2 to GPU1 (prefetch),GPU2 to GPU3 (prefetch),GPU3 to CPU0 (prefetch),GPU3 to CPU8 (prefetch),GPU3 to GPU0 (prefetch),GPU3 to GPU1 (prefetch),GPU3 to GPU2 (prefetch),
0.001953,49.46,49.74,48.85,30.99,40.23,26.07,25.72,24.76,30.76,29.04,21.96,21.48,20.47,48.75,44.91,41.64,27.96,26.45,53.40,49.09,42.10,38.55,26.74,49.20,43.27,32.92,30.27,27.21
0.002930,60.71,58.17,55.05,52.23,28.37,26.77,25.39,23.72,23.36,22.65,20.69,19.53,18.92,38.16,36.28,32.21,29.77,38.80,54.76,51.18,45.16,42.69,40.27,35.15,33.74,31.03,29.60,28.82
0.003906,44.79,43.11,41.18,40.59,32.26,31.40,30.32,29.36,36.68,35.79,34.29,33.21,32.07,50.64,48.71,45.66,44.05,42.41,54.38,51.60,46.59,44.70,42.88,29.42,28.72,26.90,26.32,25.62
0.005859,45.92,44.83,42.95,41.95,34.49,33.57,32.72,32.18,46.96,45.19,43.64,42.63,41.36,61.69,59.69,57.34,54.18,52.80,64.92,62.20,57.31,55.27,53.60,31.71,31.21,30.11,29.27,28.64
0.007812,45.42,44.63,43.74,42.98,34.96,34.44,33.75,33.22,53.74,52.30,51.15,49.88,48.49,68.16,65.79,63.39,61.49,59.32,71.24,69.18,63.96,62.29,60.10,33.15,32.73,31.39,31.08,30.64
0.011719,54.98,53.78,53.58,52.24,43.05,42.38,41.86,41.19,70.98,69.76,68.61,66.37,65.02,87.31,85.22,83.02,81.00,79.21,90.38,88.58,83.23,81.21,79.31,41.06,40.49,39.45,38.77,38.22
0.015625,60.71,59.66,59.50,57.82,47.76,46.88,46.40,46.15,84.88,82.80,81.35,79.46,78.02,101.60,100.41,97.58,95.32,93.10,106.02,103.81,97.80,95.45,93.41,45.89,45.29,44.10,43.74,43.02
0.023438,78.17,77.92,76.41,75.25,61.46,60.78,60.27,59.77,114.95,112.40,110.57,107.74,105.94,136.55,132.83,129.60,126.32,124.36,140.66,137.62,129.75,127.29,123.85,59.43,59.09,57.77,56.68,56.46
0.031250,90.69,89.15,87.79,86.98,71.75,71.33,70.57,69.87,139.61,136.68,133.93,132.44,130.15,161.73,159.37,155.62,152.96,149.84,166.31,163.69,156.57,153.50,149.81,69.74,68.44,67.78,67.48,66.10
0.046875,119.51,118.85,116.75,116.22,96.42,94.91,94.97,94.43,191.51,188.26,185.56,183.51,181.18,221.53,217.38,212.39,206.65,204.58,225.69,222.02,213.01,206.85,204.78,93.33,92.58,92.08,91.28,90.67
