Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable),CPU0 to GPU4 (pageable),CPU0 to GPU5 (pageable),CPU0 to GPU6 (pageable),CPU0 to GPU7 (pageable),CPU1 to GPU0 (pageable),CPU1 to GPU1 (pageable),CPU1 to GPU2 (pageable),CPU1 to GPU3 (pageable),CPU1 to GPU4 (pageable),CPU1 to GPU5 (pageable),CPU1 to GPU6 (pageable),CPU1 to GPU7 (pageable),GPU0 to CPU0 (pageable),GPU1 to CPU0 (pageable),GPU2 to CPU0 (pageable),GPU3 to CPU0 (pageable),GPU4 to CPU0 (pageable),GPU5 to CPU0 (pageable),GPU6 to CPU0 (pageable),GPU7 to CPU0 (pageable),GPU0 to CPU1 (pageable),GPU1 to CPU1 (pageable),GPU2 to CPU1 (pageable),GPU3 to CPU1 (pageable),GPU4 to CPU1 (pageable),GPU5 to CPU1 (pageable),GPU6 to CPU1 (pageable),GPU7 to CPU1 (pageable)
0.75,5470.3,5478.37,5468.51,5471.14,5497,5507.3,5518.56,5491.81,5436.91,5425.58,5414.73,5420.92,5486.63,5500.79,5486.35,5462.73,5731.1,5701.43,5748.23,5729.83,4252.28,4285.49,4317.42,4389.58,3690.78,3691.27,3744.79,3663.24,5726.98,5725.23,5763.07,5700.99
1,5612.33,5622.37,5608.59,5669.8,5629.93,5662.07,5687.64,5637.52,5592.15,5580.58,5592.97,5594.47,5619.15,5657.39,5635.83,5641.46,5895.29,5894,5917.47,5965.66,4439.22,4458.71,4457.68,4426.48,3783.48,3762.64,3804.16,3788.02,5906.53,5917.51,5936.62,5924.45
1.5,6590.42,6600.25,6601.53,6644.22,6626.09,6619.74,6644.96,6621.81,6577.48,6550.99,6544.93,6611.8,6538.23,6586.23,6597.5,6581.89,7223.94,7245.08,7259.53,7237.81,5074.24,5044.1,5029.32,5072.19,4274.77,4249.99,4275.26,4237.25,7258.58,7241.65,7296.68,7246.45
2,7292.75,7235.73,7272.65,7323.62,7309.91,7308.23,7322.52,7301.96,7259.03,7249.03,7219.57,7266.28,7236.15,7271.85,7280.35,7224.99,7856.29,7887.4,7892.1,7875.01,5664.21,5636.57,5694.08,5706.15,4593.77,4582.69,4555.18,4538.09,7841.23,7854.23,7850.09,7821.67
3,8069.68,8071.87,8095.37,8122.14,8090.7,8070.81,8094.68,8088.8,8065.56,8046.71,8081.7,8099.16,8025.15,7999.4,8027.06,7988.22,8820.65,8816.79,8864.12,8872.38,6121.75,6086.24,6117.44,6126.84,5146.63,5090.01,5083.8,5175.71,8865.14,8874.35,8874.95,8871.88
4,8540.97,8532.48,8553.33,8557.52,8544.07,8553.35,8556.57,8538.65,8515.98,8513.07,8520.36,8545.99,8448.41,8476.89,8436.9,8426.8,9392.21,9378.6,9426.09,9416.2,6340.65,6375.09,6415.97,6416.62,5325.82,5239.98,5296.84,5261.43,9401.72,9387.78,9409.59,9382.58
6,9056.48,9063.21,9058.42,9093.87,9046.76,9061.01,9054.06,9042.68,9043.42,9046.14,9048.22,9063.14,8940.6,8942.26,8948.05,8928.93,10021.36,10017.7,10045.37,10039.89,6740.66,6699.55,6716.73,6857.93,5527.57,5518.93,5557.78,5531.24,10018.52,10035.24,10061.48,10034.3
8,9329.52,9339.49,9344.59,9375.26,9330.9,9338.78,9353.34,9319.14,9325.86,9354.36,9326.05,9353.3,9195.24,9192.51,9212.58,9187.77,10384.14,10417.37,10412.22,10400.56,6910.86,6883.54,6891.22,6883.69,5682.89,5655.13,5641.4,5658.19,10389.68,10383.61,10409.63,10398.97
12,9631.41,9648.69,9648.15,9685.96,9651.67,9652.65,9660.82,9647.02,9627.48,9648.12,9622.45,9656.9,9476.25,9510,9527.05,9473.18,10772.04,10784.99,10784.41,10793.55,7198.68,7201.7,7228.38,7199.67,5789.17,5750.68,5792.69,5771.86,10775.79,10775.82,10801.55,10774.58
16,9802.23,9791.14,9814.01,9825.1,9790.94,9799.33,9821.84,9794.43,9812.38,9816.58,9812.2,9829.54,9630.61,9624.71,9652.52,9628.21,10991.14,10986.21,10992.57,10985.99,7207.73,7177.62,7176,7191.2,5901.28,5852.02,5858.13,5831.1,10976.32,10981.68,10999.66,10975.01
24,9960.78,9962.23,9970.21,10003.68,9964.68,9969.27,9979.87,9954.66,9984.72,9982.54,9978.37,10001.43,9795.04,9784.45,9822.43,9779.03,11197.56,11190.46,11192.68,11195.51,7292.02,7276.62,7255.57,7309.76,5978.89,5915.2,5920.44,6022.61,11199.27,11199.8,11215.51,11192.59
32,10059.4,10047.8,10046.01,10065.35,10031.83,10042.82,10053.6,10040.29,10057.35,10059.15,10058.76,10082.72,9885.42,9908.42,9898.34,9859.13,11307.49,11300.93,11309.79,11314.2,7478.89,7460.66,7485.29,7447.73,6008.52,5957.75,5966.35,5950.37,11302.13,11306.8,11325.86,11303.02
48,10060.19,10063.36,10060.15,10086.75,10056.51,10063.78,10074.92,10085.89,10116.35,10121.67,10106.97,10125.95,10052.35,10063.13,10065.05,10048.57,11415.12,11414.88,11416.62,11418.19,7524.65,7503.21,7552.08,7537.36,6028.86,5983.15,5973.08,5992.67,11412.6,11415.33,11434.69,11414.08
64,8909.63,8988.12,9024.17,9099.4,9178.23,9307.29,9367.9,9354.58,9663.32,9728.87,9679.32,9736.07,9672.8,9646.21,9656.16,9677.84,11467.52,11468,11467.45,11470.02,7557.64,7509.87,7526,7550.63,6051.01,6002.34,5982.78,6004.57,11464.8,11468.17,11490.1,11467.74
96,8224.19,8208.8,8532.75,8572.12,8568.41,8558.74,8548.96,8540.33,9296.5,9333.4,9315.83,9285.29,9238.74,9250.41,9248.77,9231.6,11519.52,11513.32,11521.75,11509.4,7579.32,7543.53,7576.36,7581.97,6054.47,6025.72,5994.42,6015.21,11521.49,11521.41,11513.48,11519.74
128,8483.85,8483.7,8491.99,8515.78,8484.97,8473,8423.34,8468.4,9239.51,9230.49,9254.79,9242.41,9169.57,9174.64,9179.88,9171.65,11546.1,11547.74,11547.37,11546.39,7559.24,7565.61,7597.33,7569.8,6083.94,6019.55,6000.54,6149.13,11546.57,11547.48,11548.97,11548.09
192,8501.94,8507.93,8501.1,8529.12,8500.16,8495.25,8467.14,8475.72,8939.63,9269.77,9262.51,9272.03,9160.96,9214.64,9184.4,9176.3,11588.27,11596.37,11598.41,11587.57,7608.2,7561.33,7609.78,7598.81,6226.78,6021.28,6003.85,6137.04,11574.41,11599.97,11598.01,11574.42
256,8512.6,8481.97,8505.18,8522.7,8500.69,8511.92,8477.97,8493.57,9248.02,9281.91,9267.41,9265.83,9133.22,9208.4,9213.06,9197.5,11603.71,11598.33,11615.56,11609.48,7607.37,7566.09,7608.37,7599.78,6089.01,6172.42,6131.14,6139.56,11584.54,11607.61,11619.08,11586.72
384,8517.85,8507.55,8493.96,8524.06,8512.94,8512.83,8483.47,8476.86,8983.96,9278.67,9273.99,9257.74,9194.45,9182.66,9193.62,9162.58,11623.28,11613.86,11621.91,11622.88,7618.22,7567.87,7612.04,7602.73,6092.51,6184.35,6146.42,6149.51,11592.6,11623.92,11632.26,11583.11
512,8515.71,8529.53,8518.84,8542.07,8507.48,8513.44,8483.38,8483.33,9289.24,9298.58,9298.5,9300.76,9213.77,9223.19,9219.36,9219.24,11626.15,11622.41,11636.43,11625.9,7612.16,7569.69,7607.16,7613.59,6225.9,6178.27,6148.17,6148.92,11605.72,11614.19,11593.03,11595
768,8523.46,8519.97,8545.36,8525.83,8506.62,8513.51,8503.84,8492.77,9291.61,9323.98,9304.94,9317.29,9227.86,9255.36,9233.91,9225.34,11627.7,11613.12,11631.74,11625.5,7606.04,7585.41,7607.84,7609.63,6222.48,6178.13,6141.05,6144.95,11605.07,11608.12,11628.4,11605.99
1024,8516.95,8506.88,8543.07,8509.68,8510.26,8515.56,8486.36,8475.23,9309.36,9310.82,9317.4,9312.84,9241.94,9215.88,9234.43,9229.23,11627.1,11639.6,11626.88,11639.68,7611.7,7574.29,7609.96,7597.14,6227.77,6180.44,6145.27,6154.99,11610.99,11616.53,11634.65,11603.88
1536,8512.43,8513.72,8535.17,8529.85,8521.29,8524.04,8499.61,8483.67,9316.13,9322.53,9317.96,9303.47,9229.61,9251.41,9237.38,9235.54,11632.1,11627.23,11629.02,11640.78,7607.18,7575.82,7609.38,7607.14,6229.29,6180.59,6147.4,6153.24,11605,11630.62,11636.72,11607.4
2048,8513.73,8517.29,8528.23,8528.05,8508.92,8522.62,8486.03,8485.39,9311.22,9314.87,9316.32,9310.88,9241.43,9251.3,9233.28,9229.93,11632.27,11633.13,11636.73,11639.17,7612.04,7574.31,7612.69,7612.78,6227.57,6187.3,6144.57,6153.81,11609.39,11628.7,11640.48,11603.23
3072,8522.98,8512.29,8530.31,8520.61,8518.87,8515.4,8494.6,8489.66,9306.11,9316.83,9323.17,9325.22,9242.38,9248.33,9243.4,9230.62,11636.02,11640.85,11644.8,11641.4,7614.52,7580.61,7612.83,7611.55,6225.97,6181,6145.45,6151.19,11605.92,11628.42,11641.4,11608.02
4096,8531.25,8516.48,8533.81,8525.85,8521.64,8521.59,8495.68,8493.18,9301.53,9308.25,9318.24,9306.86,9237.08,9246.54,9250.55,9237.11,11631.73,11632.24,11637.55,11636.89,7612.35,7574.72,7615.61,7608.59,6226.65,6181.5,6149.79,6153.89,11608.6,11628.95,11635.66,11608.32
6144,8516.35,8514.21,8530.98,8527.18,8513.17,8520.86,8491.41,8485.53,9304.26,9307.99,9316.26,9306.08,9238.23,9248.93,9237.85,9241.48,11626.88,11633.84,11636.55,11633.75,7660.89,7620.16,7658.41,7656.01,6227.53,6181.45,6145.39,6152.18,11609.21,11626.13,11641.71,11606.61
8192,8513.48,8509.84,8528.11,8521.24,8513.16,8511.67,8490.52,8484.36,9304.73,9306.59,9314.59,9300.06,9216.71,9237.86,9229.31,9231.59,11627.54,11630.01,11631.52,11634.02,7609.73,7574.69,7606.69,7606.69,6224.07,6181.62,6142.66,6150.15,11607.28,11626.9,11639.28,11607.17
12288,8514.17,8515.21,8524.69,8518.67,8509.18,8508.65,8483.91,8477.66,9317.83,9323.1,9326.46,9317.83,9237.19,9250.98,9238.87,9244.54,11629.42,11630.16,11632.23,11631.47,7608.63,7571.52,7612.93,7608.06,6223.59,6179.16,6159.74,6151.91,11605.78,11627.45,11639.37,11608.04
