Transfer Size (MB),CPU0 to GPU0 (prefetch),CPU0 to GPU1 (prefetch),CPU0 to GPU2 (prefetch),CPU0 to GPU3 (prefetch),CPU0 to GPU4 (prefetch),CPU0 to GPU5 (prefetch),CPU0 to GPU6 (prefetch),CPU0 to GPU7 (prefetch),CPU1 to GPU0 (prefetch),CPU1 to GPU1 (prefetch),CPU1 to GPU2 (prefetch),CPU1 to GPU3 (prefetch),CPU1 to GPU4 (prefetch),CPU1 to GPU5 (prefetch),CPU1 to GPU6 (prefetch),CPU1 to GPU7 (prefetch),GPU0 to CPU0 (prefetch),GPU0 to CPU1 (prefetch),GPU0 to GPU1 (prefetch),GPU0 to GPU2 (prefetch),GPU0 to GPU3 (prefetch),GPU0 to GPU4 (prefetch),GPU0 to GPU5 (prefetch),GPU0 to GPU6 (prefetch),GPU0 to GPU7 (prefetch),GPU1 to CPU0 (prefetch),GPU1 to CPU1 (prefetch),GPU1 to GPU0 (prefetch),GPU1 to GPU2 (prefetch),GPU1 to GPU3 (prefetch),GPU1 to GPU4 (prefetch),GPU1 to GPU5 (prefetch),GPU1 to GPU6 (prefetch),GPU1 to GPU7 (prefetch),GPU2 to CPU0 (prefetch),GPU2 to CPU1 (prefetch),GPU2 to GPU0 (prefetch),GPU2 to GPU1 (prefetch),GPU2 to GPU3 (prefetch),GPU2 to GPU4 (prefetch),GPU2 to GPU5 (prefetch),GPU2 to GPU6 (prefetch),GPU2 to GPU7 (prefetch),GPU3 to CPU0 (prefetch),GPU3 to CPU1 (prefetch),GPU3 to GPU0 (prefetch),GPU3 to GPU1 (prefetch),GPU3 to GPU2 (prefetch),GPU3 to GPU4 (prefetch),GPU3 to GPU5 (prefetch),GPU3 to GPU6 (prefetch),GPU3 to GPU7 (prefetch),GPU4 to CPU0 (prefetch),GPU4 to CPU1 (prefetch),GPU4 to GPU0 (prefetch),GPU4 to GPU1 (prefetch),GPU4 to GPU2 (prefetch),GPU4 to GPU3 (prefetch),GPU4 to GPU5 (prefetch),GPU4 to GPU6 (prefetch),GPU4 to GPU7 (prefetch),GPU5 to CPU0 (prefetch),GPU5 to CPU1 (prefetch),GPU5 to GPU0 (prefetch),GPU5 to GPU1 (prefetch),GPU5 to GPU2 (prefetch),GPU5 to GPU3 (prefetch),GPU5 to GPU4 (prefetch),GPU5 to GPU6 (prefetch),GPU5 to GPU7 (prefetch),GPU6 to CPU0 (prefetch),GPU6 to CPU1 (prefetch),GPU6 to GPU0 (prefetch),GPU6 to GPU1 (prefetch),GPU6 to GPU2 (prefetch),GPU6 to GPU3 (prefetch),GPU6 to GPU4 (prefetch),GPU6 to GPU5 (prefetch),GPU6 to GPU7 (prefetch),GPU7 to CPU0 (prefetch),GPU7 to CPU1 (prefetch),GPU7 to GPU0 (prefetch),GPU7 to GPU1 (prefetch),GPU7 to GPU2 (prefetch),GPU7 to GPU3 (prefetch),GPU7 to GPU4 (prefetch),GPU7 to GPU5 (prefetch),GPU7 to GPU6 (prefetch)
0.0625,138.19,137.32,137.23,135.78,135.84,134.77,134.8,135.49,132.47,133.8,131.98,132.16,131.08,131.18,130.01,130.03,299.16,303.61,321.94,316.49,305.76,306.47,295.21,300.31,300.81,348.13,340.88,371.76,346.49,340.27,331.6,333.92,322.82,321.36,353.57,345.4,347.28,345.79,343.66,333.53,326.84,330.16,322.03,351.73,346.91,346.47,344.16,338.59,335.94,328.99,322.93,331.76,344.85,351.61,346.72,336.17,338.02,331.17,336.44,333.31,327.73,353.8,342.88,342.5,346.11,331.79,331.5,336.5,327.3,329.79,345.47,352.79,342.06,338.37,340.17,332.84,331.73,332.93,329.28,128.17,127.92,129.34,128.82,128.39,128.83,128.74,128.31,127.93
0.09375,185.07,185.08,186.57,185.53,183.12,185.14,182.83,182.51,180.5,179.98,179.35,178.74,177.88,177.3,176.89,176.25,425.32,426.02,444.95,438.62,434.53,421.2,410.11,414.11,409.53,489.15,487.35,508.47,466.86,468.72,449.88,458.66,439.88,440.65,491.57,482.14,473.47,471.9,466.68,451.81,442.72,455.24,440.99,491.4,487.48,464.04,470.64,467.87,451.06,447.54,444.27,447.97,492.06,489.9,473.59,463.07,456.65,454.81,460.18,456.39,454.07,493.15,488.65,458.52,465.93,454.75,447.97,457.49,454.08,449.22,489.9,487.88,462.34,457.53,467.74,449.55,456.68,456.71,446.3,176.56,175.99,178.1,176.78,175.92,177.84,177.08,175.91,175.27
0.125,226.31,226.02,226.68,225.1,223.67,221.23,222.41,222.17,218.37,218.14,218.25,217,215.09,214.77,215.09,212.5,501.67,501.45,548.37,548.52,531.11,523.2,508.73,514.14,511.19,566.85,570.38,628.55,615.15,577.08,550.35,562.7,548.23,546.08,575.52,569.73,585.78,575.21,574.64,548.37,548.39,559.88,534.29,568.46,571.66,582.5,578.13,571.68,551.36,550.18,544.73,559.16,571.2,574.32,580.71,567.52,558.29,556.47,563.6,563.72,561.5,569.67,574.22,569.52,582.25,563.73,548.47,564.18,563.23,558.56,569.17,574.43,569.43,541.41,573.34,555.8,571.1,562.39,558.49,210.16,209.09,214.73,214.25,213.98,215.44,211.18,214.03,209.29
0.1875,310.74,312.5,310.78,310.48,306.22,309.58,305.57,301.58,303.43,295.1,297.64,301.26,295.92,299.92,294.64,293.22,679.6,698.86,775.15,770.56,759.82,761.1,704.42,703.58,698.08,766.62,777.52,873.66,866.83,856.4,762.24,784.44,757.81,748.92,784.13,774.7,814.79,805.36,805.59,769.08,763.45,785.08,751.06,782.01,775.39,812.74,812.11,800.38,765.82,764.42,727.11,782.98,787.67,761.89,809.38,783.19,781.85,768.35,791.7,785.92,783.57,772.08,781.02,790.44,814.7,781.75,733.62,789.61,786.29,778.95,791.25,773.67,791.8,783.45,807.14,766.32,781.66,785.75,785.31,292.76,291.27,299.22,297.05,295.84,299.33,297.91,297.33,298.89
0.25,384.09,382.56,383.18,380.88,382.08,376.05,377.73,375.73,375.53,374.44,373.19,373.31,372.12,370.7,369.62,368.39,866.91,857.5,965.76,952.57,945.9,946.32,871.98,882.09,890.99,959.76,951.37,1069.79,1007.02,992.16,945.88,984.29,945.36,939.58,959.48,947.89,1016.91,1005.11,1005.14,953.01,951.94,978.54,935.95,957.89,955.43,1011.71,995.02,997.63,955.67,916.96,945.49,966.98,957.28,957.91,1015.01,964.42,957.72,952.18,995.56,987.72,968.4,960.03,957.49,977.02,1015.34,952.15,953.82,992.91,983.04,975.86,959.91,959.82,974.66,963.99,998.63,954.81,984.16,978.25,975.79,354.99,353.89,365.71,359.01,364.78,371.06,368.9,367.04,366.52
0.375,529.4,533.62,529.49,529,527.87,521.16,522.26,523.84,517.3,520.01,514.43,513.04,509.96,511.25,503.36,507.64,1153.69,1094.78,1350.48,1346.86,1337.65,1300.34,1223.37,1253.21,1241.46,1269.18,1263.98,1521.45,1415.43,1396.29,1312.27,1385.79,1295.99,1242.39,1275.18,1261.18,1428.16,1413.73,1404.27,1318.19,1305.91,1368.55,1292.4,1272.49,1271.21,1418.56,1417.74,1395.26,1315.69,1311.76,1306.17,1367.99,1276.64,1277.32,1443.88,1329.83,1326.89,1326.35,1390.88,1376.84,1373.88,1288.3,1280.03,1348.6,1403.22,1339.6,1315.13,1391.63,1368.66,1368.25,1282.07,1276.06,1351.69,1333.67,1403.92,1323.18,1383.33,1385.37,1364.74,488.71,487.5,513.27,507.45,509.3,516.75,517.96,512.59,511.79
0.5,658.28,657.98,654.07,647.81,649.37,648.9,644.13,643.94,643.73,632.05,635.77,638.66,636.19,635.01,634.43,624.24,1369.29,1366.09,1700.21,1662.9,1695.45,1650.45,1485.9,1507,1542.05,1531.74,1526.65,1888.77,1749.94,1753.73,1620.71,1722.85,1602.31,1600.98,1520.42,1517.13,1781.95,1756.98,1738.26,1611.44,1611.13,1698.54,1603.73,1506.75,1517.54,1779.52,1755.6,1736.2,1618.23,1630.46,1589.51,1693.02,1530.04,1501.97,1703.72,1642.31,1623.42,1614.49,1725.27,1714.89,1694.24,1520,1524.58,1662.18,1763.23,1627.36,1593.51,1731.99,1719.64,1709.24,1524.3,1527.84,1666.88,1648.04,1753.57,1625.3,1742.54,1724.49,1709.03,597.23,595.93,629.46,620.81,623.38,640.13,638.63,638.55,639.52
0.75,899.63,915.02,897.6,913.14,911.16,910.4,888.69,902.11,884.63,900.28,882.37,894.82,889.66,890.38,877.46,888.22,1770.64,1753.08,2236.72,2396.89,2390.9,2299.96,2177.22,2107.05,2086.6,1936.03,1943.12,2676.64,2658.65,2638.63,2240.95,2465.29,2229.43,2212.79,1977.96,1972.83,2529.31,2498.35,2488.29,2259.36,2248.36,2443.71,2157.02,1973.72,1981.6,2508.99,2506.57,2478.72,2200.79,2236.74,2217.66,2430.58,1982.99,1976.45,2450.56,2239.59,2267.84,2264.23,2452.66,2448.21,2427,1992.07,1977.96,2300.78,2511.32,2276.7,2203.73,2466.11,2438.1,2433.03,1987.56,1976.88,2296.04,2279.66,2498.54,2206.43,2470.61,2441.29,2444.32,817.71,818.81,880.68,881.69,876.34,910.73,909.43,903.54,905.1
1,1145.58,1150.03,1144.65,1118.56,1122.92,1133.9,1068.47,1130.18,1125.16,1097.79,1119.87,1108.56,1117.79,1107.46,1108.51,1091.83,2131.39,2178.19,3068.73,3022.86,3008.25,2980.63,2608.58,2643.33,2641.21,2321.86,2333.63,3371.17,3129.13,3117.17,2744.55,3076.11,2735.9,2710.84,2323.2,2335.48,3122.72,3133.43,3100.67,2759.92,2748.23,3051.3,2685.24,2318.49,2331.12,3143.39,3146,3119.18,2777.49,2737.92,2741.05,3040.82,2327.48,2321.44,3140.68,2771.61,2752.46,2725.11,3085.53,3089.63,3052.59,2334.98,2347.14,2724.37,3143.69,2784.56,2704.23,3097.38,3088.91,3056.7,2332.08,2341.69,2798.61,2739.31,3126.74,2778.58,3109.22,3087.49,3062.24,1001.34,1001.54,1100.97,1096.55,1092.22,1142.06,1142.23,1133,1136.96
1.5,1590.17,1571.74,1593.83,1566.76,1567.98,1565.17,1573.11,1573,1562.06,1548.12,1552.67,1563.38,1554.34,1552,1533.45,1542.56,2670.12,2775.31,4331.22,4292.42,4278.55,4171.38,3570.57,3647.73,3638.85,2905.36,2947.56,4764.45,4403.31,4397.92,3709.27,4329.33,3724.33,3644.18,2920.14,2894.93,4434.35,4426.05,4408.64,3666.97,3678.42,4340.86,3705.95,2899.2,2911.9,4475.19,4425.58,4386.16,3674.08,3685.56,3638.67,4295.29,2921.09,2933.46,4438.33,3729.78,3729.82,3681.98,4360.98,4332.15,4323.98,2907.69,2915.51,3724.73,4435.39,3735.3,3747.57,4332.94,4341.74,4327.27,2934.64,2959.87,3796.04,3736.47,4423.29,3759.4,4370.6,4380.93,4348.72,1343.74,1343.29,1534.47,1525.94,1516.51,1617.93,1613.62,1602.42,1608.91
2,1987.09,1962.85,1970.18,1987.31,1983.59,1969.06,1947.95,1942.49,1946.97,1918.95,1957.79,1940.39,1955.32,1942.22,1933.39,1921.35,3215.47,3207.41,5337.57,5505.82,5181,5430.9,3944.61,3952.75,3956.11,3344.34,3341.06,5869.61,5881.92,5999.79,4013.42,5887.03,4052.41,3998.54,3382.82,3275.99,5715.4,5671.36,5632.69,3980.19,3933.8,5527.78,3995.98,3335.41,3340.89,5690.19,5685.23,5615.37,4008.2,4009.24,4008.81,5512.41,3357.68,3336.05,5670.4,4046.31,4007.22,4005.56,5606.25,5519.56,5524.34,3348.4,3334.48,4079.15,5669.9,4017.94,4018.81,5597.9,5564.33,5519.46,3344.96,3336.13,4069.79,4065.31,5674.21,4017.54,5591.65,5557.5,5560.41,1625.17,1619.36,1913.66,1922.69,1907.67,2058.16,2049.1,2050.75,2011.08
3,2708.07,2733.4,2743.55,2720.6,2686.92,2734.99,2706.13,2707.34,2681.92,2657.44,2686.26,2682.64,2668.2,2703.78,2667.4,2680.15,4137.66,4134.62,7694.2,7690.83,7597.49,7620.07,4890.95,4889.04,4917.52,4463.08,4471.67,8301.03,8084.88,7799.5,4966.07,7685.51,4932.25,4923.04,4419.64,4443.92,7908.68,7760.64,7793.77,4938.3,4941.15,7719.98,4958.94,4432.34,4435.25,7893.99,7864.52,7882.79,4926.48,4951.13,4956.32,7626.81,4413.47,4411.43,7936.97,4962.23,4975.8,4985.64,7716.21,7691.54,7692.9,4429.79,4454.02,4955.48,7838.69,4940.2,4964.97,7744.19,7677.13,7649.1,4426.59,4408.12,4939.42,4973.13,7815.78,4922.93,7720.32,7672.77,7688.35,2229.09,2240.72,2644.03,2603.45,2617.52,2893.02,2904.4,2871.85,2865.92
4,3431.51,3413.12,3453.27,3399.18,3432.47,3405.17,3431.1,3393.32,3398.18,3362.74,3390.21,3347.06,3374.18,3347.7,3362.09,3353.71,4898.36,4861.16,9961.3,9970.86,9609.7,9567.8,5610.36,5679.85,5627.87,5049.92,5041.64,10584.25,10526.81,9928.17,5688.65,9875.28,5665.04,5656.82,5055.43,5059.45,10071.56,10020.49,10006.23,5714.72,5730.17,9894.23,5658.45,4967.32,5079.93,10055.51,10012.47,9936.01,5699.59,5730.08,5706.45,9843.46,4950.27,5056.11,10052.9,5735.79,5722.42,5740.25,9886.21,9828.4,9796.65,4960.19,5043.37,5749.55,10091.71,5734.55,5733.37,9880.98,9815.64,9760.91,4944.16,5066.88,5755.92,5731.28,9988.04,5726.12,9899.23,9866.97,9797.61,2678.45,2662.64,3253.67,3268.28,3261.92,3704.44,3692.12,3670.56,3668.44
6,4660.99,4667.6,4618.1,4658.99,4598.03,4668.19,4583.26,4632.14,4579.08,4609.09,4598.85,4652.1,4583.64,4640.68,4581.1,4602.98,5958.95,5981.03,13171.35,13037.92,13093.72,12974.82,6666.48,6609.19,6658.85,6129.15,6037.47,13051.17,13146.51,13076.51,6652.48,13186.41,6619.1,6656.54,6086.48,6115.26,13213.68,13283.27,13256.74,6680.63,6698.43,13323.44,6632.99,6158.1,6111.38,13212.08,13314.04,13297.84,6688.54,6712.99,6711.1,13284.3,6147.29,6137,13283.39,6735.4,6732.68,6705.3,13319.45,13268.35,13232.5,6148.62,6142.35,6728.63,13291.69,6713.81,6750.08,13260.28,13203.88,13232.33,6151.93,6170.34,6739.95,6676.83,13234.22,6735.15,13141.55,13309.55,13302.47,3494.28,3511.73,4441.28,4437.48,4424.41,5231.83,5244.32,5237.41,5216.43
8,5721.62,5685.6,5732.95,5653.83,5703.86,5661.4,5687.57,5605.92,5692.26,5571.25,5673.01,5544.28,5486.31,5600.04,5662.4,5489.71,6662.21,6723.47,13942.65,13921.69,13914.28,13763.16,7281.81,7320.18,7268.33,6861.69,6842.72,13997.78,14006.29,13969.31,7270.63,13944.08,7295.38,7288.16,6899.66,6725.5,14046.62,14073.31,14047.58,7325.46,7312.57,14014.53,7303.46,6912.58,6894.84,14106.09,14068.78,14081.28,7298.87,7329.09,7286.5,14000.9,6910.61,6907.12,14067.57,7353.91,7364.71,7382.25,14035.09,14069.35,14062.5,6911.36,6912.46,7376.9,14064.03,7347.5,7341.63,14047.24,14017.53,13983.32,6911.22,6867.83,7359.15,7395.46,14024.53,7323.61,14006.26,14078.09,14045.49,4123.7,4139.39,5458.66,5453.93,5441.5,6609.53,6587.13,6570.44,6587.75
12,7544.62,7665.9,7553.56,7635.85,7483.62,7688.66,7442.04,7647.76,7468.97,7558.85,7471.94,7542.93,7443.87,7562.36,7481.78,7532.06,7597.72,7721.17,14913.95,14848.12,14831.42,14878.89,8048.83,8035.82,8017.1,7915.82,7892.48,14930.41,14938.25,14910.57,8081.51,14943.66,8076.3,8092.49,7897.44,7870.43,14988.42,14965.09,14983.89,8081.77,8035.22,14954.09,8057.5,7915.95,7905,15018.68,14950.64,15008.87,8059.84,8099.03,8089.09,14970.43,7924.58,7897.81,15030.14,8110.29,8102.69,8108.97,14974.58,14988.93,14964.48,7912.69,7868.88,8121.27,15025.51,8100.03,8108.36,14944.63,14997.58,14985.86,7913.57,7897.01,8103.85,8106.02,15019.06,8144.54,15008.05,14972.64,14945.17,5154.68,5171.43,7151.87,7097.79,7128.95,9345.61,9375.41,9340.94,9333.94
16,8351.71,8389.63,8316.48,8338.16,8486.74,8522.03,8502.75,8515.77,8510.42,8525.95,8493.66,8529.05,8304.61,8342.26,8280.14,8288.78,8370.91,8374.72,15406.85,15409.26,15363.53,15407.55,8482.07,8495.66,8511.63,8501.55,8522.34,15507.96,15469.28,15509.24,8531.5,15485.16,8522.12,8494.03,8549.63,8532.89,15496.13,15492.84,15473.23,8514.78,8523.42,15490.08,8489.04,8507.27,8502.36,15512.85,15518.22,15497.31,8507.68,8491.47,8560.47,15479.67,8550.43,8513.15,15505.24,8575.12,8556.9,8526.49,15469.95,15444.48,15477.87,8524.02,8541.34,8578.41,15496.95,8563.72,8572.6,15493.98,15472.27,15458.15,8546.08,8526.35,8584.87,8521.57,15505.06,8513.92,15518.18,15485.12,15499.78,5876.68,5872,7887.54,7851.38,7882.75,11810.19,11750.01,11750.03,11673.35
24,8869.47,8794.89,8764.86,8814.52,9041.05,9055.46,9067.97,9034.49,9022.05,9057.44,9036.91,9066.29,8763.23,8785.28,8779.65,8768.73,9145.75,9227.8,16007.93,16014.8,15997.23,16001.64,8975.28,9014.67,8995.41,9242.58,9258.65,16063.1,16071.63,15985.75,9043.81,16076.43,9005.04,9003.13,9340.45,9309.18,16089.65,16089.27,16057.63,9044.94,8977.38,16060.35,9039.57,9308.59,9268.69,16055.41,16071.64,16090.49,9056.57,9027.53,9068.91,16057.28,9312.93,9328.16,16034.86,9074.93,9046.61,9030.02,16070.21,16071.08,16031.86,9328.96,9347.8,9092.29,16088.38,9053.27,9078.54,16071.18,16034.68,16073.6,9334.82,9327.52,9057.1,9058.14,16095.27,9029.55,16057.96,16041.43,16016.43,6954.13,6961.5,8535.28,8553.92,8518.23,14468.57,14471.3,14449.66,14451.04
32,9146.84,9080.38,9110.46,9131.43,9258.65,9308.18,9343.59,9282.66,9303.68,9305.75,9246.82,9267.85,9103.43,9052.71,9087.41,9052.93,9697.13,9673.14,16340.14,16328.18,16321.67,16310.24,9288.37,9297.89,9264.49,9688.11,9746.34,16367.43,16337.27,16354.43,9330.35,16337.06,9334.53,9305.49,9740.96,9768.92,16380.49,16381.11,16365.59,9319.96,9345.07,16375.72,9295.37,9765.8,9759.92,16363.31,16380.4,16361.85,9321.84,9344.41,9337.28,16365.23,9788.83,9794.68,16379.22,9363.18,9325.96,9335.82,16373,16380.47,16349.89,9798.05,9798.64,9297.2,16378.56,9313.82,9322.32,16361.38,16345.34,16372.55,9777.44,9751,9278.84,9352.72,16349.72,9369.26,16355.74,16354.04,16373.12,7645.91,7659.92,8871.09,8912.27,8902.7,15069.18,15048.34,15071.19,15053.17
48,9537.25,9458.44,9520.7,9545.23,9624.01,9621.7,9588.52,9585.85,9630.22,9615.58,9620.4,9635.62,9499.98,9530.62,9501.04,9451.59,10244.42,10212.4,16637.41,16642.85,16655.83,16664.13,9630.5,9640.84,9554.74,10298.9,10311.67,16715.6,16716.18,16694.06,9559.27,16682.76,9635.48,9619.55,10275.97,10292.46,16703.36,16704.77,16708.6,9634.87,9611.62,16720.18,9606.33,10300.91,10297.45,16720.7,16731.05,16720.91,9635.9,9647.92,9621.34,16701.18,10279.55,10299.54,16734.72,9644.84,9643.72,9654.59,16724.24,16710.12,16705.24,10310.47,10297.5,9666.6,16729.29,9643.61,9656.56,16719.96,16720.21,16708.21,10298.21,10293.4,9648.36,9622.44,16725.92,9664.64,16721.23,16725.47,16715.28,8585.11,8585.43,9255.78,9319.8,9296.86,15754.24,15760.27,15733.58,15758.94
64,9724.56,9707.31,9707.08,9713.49,9766.62,9782.21,9710.93,9697.44,9768.2,9782.34,9741.82,9785.9,9673.53,9707.24,9701.15,9705.42,10559.68,10548.42,16869.04,16875.54,16854.05,16864.7,9768.08,9760.31,9752.66,10560.49,10625.39,16891.02,16895.78,16891.28,9795.84,16887.97,9791.65,9768.61,10595.85,10603.63,16896.17,16893.61,16891.37,9789.29,9798.62,16886.12,9774.11,10605.7,10597.3,16895.41,16893.93,16883.18,9695.28,9785.63,9739.31,16892.14,10587.38,10613.68,16896.16,9760.61,9720.39,9814.36,16888.13,16895.79,16882.05,10600.73,10589.24,9819,16900.97,9792.5,9758.76,16892.28,16882.09,16885.03,10604.7,10594.89,9816.44,9822.98,16895.25,9819.8,16867.54,16888.39,16887.71,9113.75,9101.41,9554.41,9530.3,9526.31,16105.64,16095.37,16089.07,16104.89
96,9930.61,9905.83,9898.32,9920.64,9951.99,9950.53,9963.96,9936.71,9962.14,9960.37,9942.09,9955.29,9901.82,9909.73,9909.59,9893.81,10884.95,10905.73,17054.36,17064.35,17068.02,17064.99,9946.22,9962.58,9930.85,10932.8,10943.95,17062.84,17087.73,17080.51,9953.54,17076.34,9960.68,9934.69,10945.23,10940.82,17080.77,17084.59,17076.61,9948.79,9959.04,17073.67,9939.67,10936.77,10945.35,17083.72,17082.77,17083.1,9951.35,9960.42,9938.39,17076.15,10931.31,10957.78,17084.69,9982.62,9962.85,9987.69,17079.96,17070.49,17067.81,10931.79,10941.21,9989.8,17080.12,9971.97,9978.59,17084.91,17077.87,17070.31,10942.7,10932.17,9982.86,9980.79,17086.06,9983.05,17083.17,17066.69,17075.25,9811.3,9817.74,9787.57,9790.85,9784.5,16521.97,16510.84,16515.18,16500.75
