Transfer Size (MB),CPU0 to GPU0 (prefetch),CPU0 to GPU1 (prefetch),CPU0 to GPU2 (prefetch),CPU0 to GPU3 (prefetch),CPU1 to GPU0 (prefetch),CPU1 to GPU1 (prefetch),CPU1 to GPU2 (prefetch),CPU1 to GPU3 (prefetch),GPU0 to CPU0 (prefetch),GPU0 to CPU1 (prefetch),GPU0 to GPU1 (prefetch),GPU0 to GPU2 (prefetch),GPU0 to GPU3 (prefetch),GPU1 to CPU0 (prefetch),GPU1 to CPU1 (prefetch),GPU1 to GPU0 (prefetch),GPU1 to GPU2 (prefetch),GPU1 to GPU3 (prefetch),GPU2 to CPU0 (prefetch),GPU2 to CPU1 (prefetch),GPU2 to GPU0 (prefetch),GPU2 to GPU1 (prefetch),GPU2 to GPU3 (prefetch),GPU3 to CPU0 (prefetch),GPU3 to CPU1 (prefetch),GPU3 to GPU0 (prefetch),GPU3 to GPU1 (prefetch),GPU3 to GPU2 (prefetch)
384,28684.41,28683.86,26405.65,26387.85,26403.57,26394.84,28735.23,28822.26,19431.63,19428.59,32943.65,19818,19817.25,19459.37,19462.32,32970.06,19835.59,19830.61,26384.54,26395.49,25201.45,25157.61,32972.66,24599.81,24574.04,24717.99,24667,32025.54
512,28889.5,28880.42,26596.37,26578.2,26590.82,26572.81,28991.08,29020.39,19590.99,19587.43,33105.33,19897.47,19894.62,19619.99,19613.73,33126.47,19908.05,19907.59,27026.49,27002.33,25269.41,25172.5,33131.67,25559.48,25493.34,24821.18,24806.48,32378.94
768,29119.98,29132.3,26798.94,26797.22,26798.08,26795.82,29197.94,29228.76,19766.24,19763.31,33274.28,19976.01,19975,19781.23,19783.77,33296.96,19983.4,19983.59,28445.85,28386.61,25393.37,25446.59,33290.15,27267.29,27248.04,25131.74,25109.51,32773.83
1024,29228.96,29243.16,26895.23,26884.34,26894.39,26895.39,29310.85,29327.7,19851.84,19851.34,33366.25,20018.03,20017.29,19868.99,19868.71,33378.8,20026.67,20025.7,28829.1,28786.48,25494.39,25513.36,33379.65,27896.5,27911.97,25263.43,25272.46,32974.24
1536,29352.97,29361.94,27009.67,27002.81,27014.18,27002.8,29409.22,29405.2,19945.83,19945.74,33454.85,18942.97,19510.36,19953.35,19957.94,33464.35,19885.6,20067.24,29560.08,29527.79,25321.91,25343.08,33464.31,28895.18,28915.02,24112.49,25405.39,33187.95
2048,29413.87,29432.46,27074.93,27074.18,27070.58,27066.12,29466.34,29478.58,19994.78,19991.4,33502.73,20081.65,19520.6,19996.62,20003.72,33509.11,20085.6,20084.17,29766.07,29834.16,25231.14,25037.66,33509.16,29218.61,29325.35,25340.87,23909.41,33297.17
3072,29399.18,29420.28,27010.02,27009.35,26993.83,27000.01,29436,29439.38,20046.25,20046,33525.14,19392.48,20103.07,20053.84,20048.76,33536.29,20109.51,20107.77,30139,30130.68,25462.95,25370.99,33544.37,29767.93,29767.4,25108.07,24843.82,33394.45
4096,29341.72,29363.66,26987.89,26988.95,26983.51,26981.96,29381.68,29384.35,20067.88,20068.57,33484.91,20116.95,20115.28,20078.42,20069.28,33562.31,20122.52,20120.56,30284.56,30285.23,25267.63,25499.6,33570.11,29991.58,29993.81,25048.52,24838.57,33459.58
6144,29490.62,29517.13,27121.5,27128.76,27130.98,27130.14,29526.99,29533.71,20092.55,20093.29,33570.21,20125.83,20124.78,20099,20099.18,33584.02,20131.16,20130.47,30460.39,30458.41,25480.23,25258.84,33585.67,30247.34,30252.58,25314.07,25320.06,33506.63
8192,29518.64,29544.25,27154.39,27156.19,27156.77,27149.14,29539.76,29558.46,20098.32,20098.29,33582.2,20131.6,20131.3,20110.26,20110.72,33598.14,20135.6,20136.08,30517.64,30516.97,25051.67,25496.67,33592.65,30359.95,30356.28,25284.59,25424.71,33538.01
12288,29551.8,29572.66,27175.79,27183.14,27187.25,27183.98,29581.76,29592.36,20119.67,20119.33,33595.45,20137.12,20137.41,20122.6,20116.77,33598.35,20141.37,20141.97,30570.91,30570.15,25340.45,25431.05,33601.05,30465.28,30473.35,24993.75,25467.91,33560.14
