Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU8 to GPU0 (pinned),CPU8 to GPU1 (pinned),CPU8 to GPU2 (pinned),CPU8 to GPU3 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU0 to CPU8 (pinned),GPU1 to CPU8 (pinned),GPU2 to CPU8 (pinned),GPU3 to CPU8 (pinned)
0.001953,94.34,119.88,79.09,92.32,104.42,105.13,114.34,115.24,117.04,120.76,112.54,113.23,126.15,129.06,131.40,129.76
0.002930,145.37,144.51,141.63,138.45,158.30,159.60,171.99,172.32,177.27,174.96,169.09,169.81,188.44,189.81,195.61,198.14
0.003906,195.78,191.81,187.61,183.69,213.28,208.59,226.87,225.18,235.33,234.53,224.18,226.74,250.42,243.32,262.27,262.73
0.005859,281.94,282.19,280.29,273.34,313.70,306.74,332.69,326.08,351.81,349.75,329.94,339.73,378.00,368.56,391.30,394.92
0.007812,378.02,375.49,364.12,360.64,409.65,411.68,421.77,422.23,532.51,531.03,508.16,514.18,475.36,496.60,520.90,518.55
0.011719,626.87,630.55,594.74,588.32,584.53,578.56,619.81,619.48,788.50,786.18,751.06,768.49,752.17,706.25,779.69,777.72
0.015625,812.74,810.64,761.86,753.12,743.69,744.01,812.96,803.26,1046.90,1054.46,1017.25,993.26,976.26,994.08,1046.06,1058.53
0.023438,1093.52,1105.13,1063.60,1053.61,1059.85,1043.99,1106.27,1100.04,1503.08,1593.30,1431.56,1440.80,1410.88,1390.37,1610.82,1547.64
0.031250,1914.59,1931.52,1846.82,1893.14,1872.72,1818.87,1946.68,1914.24,2123.54,2144.82,1760.46,1843.44,1813.07,1773.75,2070.50,2078.62
0.046875,2948.11,2888.88,2634.91,2678.11,2589.06,2604.89,2874.18,2891.38,3150.20,3121.46,2604.02,2651.15,2520.43,2509.50,3060.13,3044.62
0.062500,3828.48,3847.10,3456.28,3481.70,3381.12,3365.28,3745.43,3779.86,3924.15,3846.63,3188.94,3250.13,3019.62,3090.85,3853.27,3815.63
0.093750,5389.17,5347.06,4904.27,4888.16,4754.54,4750.68,5197.07,5238.60,5693.55,5576.04,3949.20,4248.62,3994.63,3960.71,5583.35,5610.41
0.125000,6972.72,6991.05,6054.15,6059.14,5973.72,6072.97,6855.70,6827.99,7232.54,7158.40,4889.88,5046.02,4824.58,4842.71,6926.74,6752.01
0.187500,9761.56,9756.48,8482.24,8450.51,8361.58,8335.93,9560.96,9771.73,9736.72,9750.90,6348.19,6501.61,6118.45,6138.48,9772.24,9731.16
0.250000,12348.73,12450.82,10655.53,10370.86,10483.06,10457.19,11892.87,12250.10,11857.89,11644.70,7448.46,7576.91,7098.44,7179.58,11898.53,12094.24
0.375000,16123.48,16244.31,13831.51,13677.65,13453.88,13778.15,16280.28,16022.22,15306.75,15326.77,8620.29,8727.63,8894.26,8656.11,15231.52,15286.16
0.500000,20201.20,19188.70,16407.97,16357.51,16213.24,15855.90,19247.80,19665.68,17743.71,17296.85,9537.98,9585.34,9710.62,9382.80,18031.66,18156.73
0.750000,25096.20,24595.81,19794.66,19974.96,19980.29,20173.22,24600.65,24597.42,21731.57,21757.42,10565.46,10703.43,10895.46,10520.26,21702.02,21886.31
1.000000,28134.94,27967.33,21980.92,22141.53,22031.77,21903.89,27762.35,28005.71,23807.26,23390.17,11252.39,11369.97,11407.45,10870.51,23865.78,24095.22
1.500000,33741.99,33810.44,25405.64,25758.59,25153.86,25935.40,33725.30,33735.16,26711.30,26779.50,11563.01,11661.26,11956.86,11672.33,27102.72,27004.64
2.000000,37316.91,37171.96,27814.86,28113.18,27493.68,27662.52,36561.07,36583.80,28786.50,28501.40,12080.29,12091.83,12172.04,11881.00,29250.88,29086.68
3.000000,41834.59,41710.69,29916.83,30074.58,29830.86,30117.16,41294.44,41478.86,31017.37,30870.87,12419.43,12375.17,12499.38,12386.20,31358.12,31462.04
4.000000,44435.06,43954.59,31581.86,31462.87,31324.64,31455.94,44029.10,44224.79,32421.48,32123.10,12659.31,12809.26,12971.43,12780.90,32668.26,32568.78
6.000000,47557.90,47029.31,33027.10,33134.16,32796.74,32929.04,47320.48,47043.70,33925.52,33547.85,12923.71,13082.47,13058.78,13066.46,34598.48,34344.98
8.000000,52508.60,52166.88,32986.43,33491.30,32339.04,32588.15,53312.36,52800.40,39174.02,36531.52,14039.23,14178.06,15206.52,15075.51,38712.42,38786.37
12.000000,58818.63,58294.03,34034.35,34091.20,33403.76,33526.76,58660.20,58507.47,47743.33,46844.99,18608.89,19154.83,19996.60,19697.38,49120.94,48756.90
16.000000,59802.80,59394.77,34271.74,34409.56,34333.95,34232.65,59844.40,59753.67,52387.56,51858.81,22128.67,22134.79,23431.31,23126.77,53586.62,53886.02
24.000000,60972.20,60513.15,35371.88,35417.45,34912.70,35065.52,60630.86,60949.90,54360.01,55099.33,25829.75,25362.07,25984.77,25993.27,56460.89,56578.82
