Transfer Size (MB),CPU1 to GPU0 (pageable),CPU1 to GPU1 (pageable),CPU1 to GPU2 (pageable),CPU1 to GPU3 (pageable)
0.001953,173.61,172.17,177.4,176.15
0.00293,279.12,274.32,396.28,390.21
0.003906,360.69,378,376.36,602.26
0.005859,855.26,860.66,861.04,879.26
0.007812,1061.91,1084.02,1122.65,1136.2
0.011719,1340.82,1296.75,1399.25,1388.97
0.015625,1867.01,1872.15,1923.08,1959.25
0.023438,2246.91,2240.89,1638.87,2288.82
0.03125,2553.52,2776.54,2195.6,2736.19
0.046875,3237,3083.88,2541.06,3443.91
0.0625,3530.87,3719.57,3717.14,3735.13
0.09375,6513.13,6263.78,6712.25,6640.93
0.125,7321.07,7582.19,7626.14,7720.82
0.1875,7219.04,7547.4,9211.04,9271.62
0.25,9407.69,9835.94,9952.63,8897.11
0.375,8751.05,8713.03,11686.61,11311.53
0.5,9351.21,9376.99,12547.37,12265.12
0.75,9830.26,10077.12,13352.8,13536.93
1,10636.71,11702.07,14901.8,15123.79
1.5,13660.08,13863.86,19248.04,20531.63
2,17152.51,18137.3,20406.08,19850.72
3,13679.08,14933.32,22362.03,21797.73
4,14529.87,14988.4,23377.73,23805.13
6,15175.7,15984.83,23786.49,24608.42
8,15233.6,15269.86,25191.22,25399.97
12,15396.06,15398.22,26054.56,26484.34
16,15373.38,15406.04,26731.58,26725.64
24,12877.15,12435.76,13923.88,14097.36
32,13430.16,13086.6,16651.89,16214.29
48,11707.01,12940.37,15187.44,15118.65
64,12937.21,12334.99,13890.09,13745.84
96,12019.32,12329.53,13432.49,13765.73
128,12245.81,12337.44,13240.9,12818.85
192,12235.62,12140.33,13299.64,13231.81
256,11788.72,12325.62,13055.87,12763.17
384,12313.82,12203.8,12618.26,13361.06
512,12278.5,12468.81,12655.77,12784.95
768,11889.53,12431.67,12859.91,13032.28
1024,11980.67,12330.21,12746.27,12657.67
1536,12389.05,12391.65,12790.6,12983.05
2048,12335.44,12569.39,12732.44,13058.96
3072,12478.68,12577.94,12594.82,12789.26
4096,12372.41,12426.71,12551.2,12732.58
6144,12334.27,12352.38,12414.51,12704.84
8192,12362.46,12350.04,12441.43,12664.55
12288,12355.16,12362.14,12416.01,12628.4
