Transfer Size (MB),CPU1 to GPU0 (pinned),CPU1 to GPU1 (pinned),CPU1 to GPU2 (pinned),CPU1 to GPU3 (pinned)
0.001953,180.21,177.3,188.78,190.81
0.00293,246.79,249.59,143.18,279.79
0.003906,329.92,331.35,175.35,357.45
0.005859,363.01,363.87,484.41,493.09
0.007812,642.32,641.21,350.02,642.26
0.011719,927.63,915.46,955,944.91
0.015625,1182.55,1203.96,1245.02,1228.09
0.023438,1561.25,1588.66,1584.58,1591.03
0.03125,2745.08,2765.98,2773.34,2764.51
0.046875,4139.44,4113.65,4065.13,4117.98
0.0625,4868.36,4864.57,4858.14,5382.83
0.09375,7226.55,7236.03,7294.58,7305.95
0.125,8647.53,8759.02,8650.52,8784.88
0.1875,11748.86,11653.2,11640.18,12017.69
0.25,13568.52,13539.13,13594.34,13553.81
0.375,16221.83,16445.2,16522.01,16996.78
0.5,18380.33,18410.78,18588.74,19287.15
0.75,20392.07,20794.06,21058.54,21811.84
1,22116.55,22094.56,23255.81,23116.04
1.5,23075.86,23197.55,23906.67,24636.61
2,24150.21,24263.01,25533.33,25976.72
3,25319.45,25286.79,27003.19,27406.52
4,25973.01,26210.77,28134.54,28314.78
6,26874.98,26959.14,29132.29,29217.55
8,27219.31,27340.43,29452.37,29573.66
12,27653.08,27612.11,30254.36,29979.54
16,27987.49,27971.25,29732.81,29750.34
24,28243.43,28259.46,29359.59,29494.72
32,28232.71,28362.01,29685.07,30715.66
48,28061.79,28495.09,31284.87,31340.92
64,27915.46,28263.58,30967.72,30750.1
96,28307.85,28254.17,30623.42,30899.25
128,28225.71,27957.66,30454.39,30623.53
192,27605.41,27829.98,30604.81,30406.67
256,27912.11,27998.67,30356.11,30490.47
384,27817.43,27887.03,30304.77,30404.59
512,27755.52,27786.39,30312.3,30378.1
768,27856.41,27857.32,30257.59,30346.72
1024,27679.68,27759.2,30300.81,30428.48
1536,27634.52,27782.18,30278.56,30330.29
2048,27728.08,27676.05,30238.69,30309.07
3072,27609.44,27268.17,29866.35,30292.35
4096,27244.62,27253.5,29937,30294.62
6144,26984.83,27351.64,29735.67,30231.45
8192,26950.43,26997.66,29644.26,30227.78
12288,26854.13,26766.54,29556.26,30222.02
