# Strides,gpu0:cpu0 Traversal Time (us) [managed],cpu0:gpu0 Traversal Time (us) [managed]
4,87.83,151.49
5,107.22,165.99
6,122.75,197.73
7,159.49,207.73
8,182.7,207.85
9,178.27,215.55
10,194.23,264.6
11,212.75,256.45
12,252.52,253.78
13,246.92,249.48
14,293.05,269
15,286.23,279.69
16,298.67,297.7
17,317.57,399.28
18,333.53,336.29
19,381.68,350.08
20,371.5,384.94
21,387.87,377.03
22,478.9,464.2
23,422.21,448.9
24,446.08,445.7
25,460.44,494.45
26,482.35,467.53
27,504.16,480.19
28,516.06,500.41
29,531.29,519.72
30,616.13,578.03
31,564.85,585.91
32,579.3,571.15
33,600.56,561.58
